LE_MET_level6 mapped_stk_code
0 18
0 19
1 0
1 1
1 2
1 3
1 4
1 5
1 6
1 7
1 8
1 9
1 10
1 16
1 20
1 21
1 22
1 23
1 24
1 25
1 26
1 27
1 28
1 32
1 33
1 34
2 0
2 1
2 2
2 3
2 4
2 5
2 6
2 7
2 8
2 9
2 10
2 16
2 20
2 21
2 22
2 23
2 24
2 25
2 26
2 27
2 28
2 32
2 33
2 34
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 16
3 20
3 21
3 22
3 23
3 24
3 25
3 26
3 27
3 28
3 32
3 33
3 34
4 0
4 1
4 2
4 3
4 4
4 5
4 6
4 7
4 8
4 9
4 10
4 16
4 20
4 21
4 22
4 23
4 24
4 25
4 26
4 27
4 28
4 32
4 33
4 34
5 0
5 1
5 2
5 3
5 4
5 5
5 6
5 7
5 8
5 9
5 10
5 16
5 20
5 21
5 22
5 23
5 24
5 25
5 26
5 27
5 28
5 32
5 33
5 34
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
6 16
6 20
6 21
6 22
6 23
6 24
6 25
6 26
6 27
6 28
6 32
6 33
6 34
7 0
7 1
7 2
7 3
7 4
7 5
7 6
7 7
7 8
7 9
7 10
7 16
7 20
7 21
7 22
7 23
7 24
7 25
7 26
7 27
7 28
7 32
7 33
7 34
8 0
8 1
8 2
8 3
8 4
8 5
8 6
8 7
8 8
8 9
8 10
8 16
8 20
8 21
8 22
8 23
8 24
8 25
8 26
8 27
8 28
8 32
8 33
8 34
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
9 10
9 16
9 20
9 21
9 22
9 23
9 24
9 25
9 26
9 27
9 28
9 32
9 33
9 34
10 0
10 1
10 2
10 3
10 4
10 5
10 6
10 7
10 8
10 9
10 10
10 16
10 20
10 21
10 22
10 23
10 24
10 25
10 26
10 27
10 28
10 32
10 33
10 34
11 11
11 12
11 13
11 14
11 15
11 17
11 29
11 30
11 31
12 11
12 12
12 13
12 14
12 15
12 17
12 29
12 30
12 31
13 11
13 12
13 13
13 14
13 15
13 17
13 29
13 30
13 31
14 11
14 12
14 13
14 14
14 15
14 17
14 29
14 30
14 31
15 11
15 12
15 13
15 14
15 15
15 17
15 29
15 30
15 31
16 0
16 1
16 2
16 3
16 4
16 5
16 6
16 7
16 8
16 9
16 10
16 16
16 20
16 21
16 22
16 23
16 24
16 25
16 26
16 27
16 28
16 32
16 33
16 34
17 11
17 12
17 13
17 14
17 15
17 17
17 29
17 30
17 31
18 11
18 12
18 13
18 14
18 15
18 17
18 29
18 30
18 31
