pt_graph landings
1064 0
1103 0
1104 0
1108 0
1109 0
1110 0
1146 0
1150 0
1151 0
1152 0
1153 0
1188 0
1191 0
1192 0
1193 0
1194 0
1195 0
1196 0
1230 0
1236 0
1237 0
1238 0
1239 0
1273 0
1274 0
1281 0
1282 0
1314 0
1315 0
1321 0
1357 0
1395 0
1405 0
1436 0
1444 0
1450 0
1483 0
1494 0
1499 0
1541 0
1543 0
1544 0
1545 0
1589 0
1591 0
1592 0
1593 0
1635 0
1637 0
1638 0
1639 0
1640 0
1672 0
1685 0
1687 0
1688 0
1689 0
1690 0
1697 0
1698 0
1699 0
1730 0
1738 0
1739 0
1743 0
1744 0
1745 0
1753 0
1754 0
1755 0
1756 0
1757 0
1788 0
1796 0
1801 0
1802 0
1803 0
1811 0
1812 0
1813 0
1814 0
1815 0
1816 0
1817 0
1818 0
1819 0
1820 0
1855 0
1863 0
1864 0
1865 0
1866 0
1871 0
1872 0
1880 0
1881 0
1882 0
1883 0
1884 0
1885 0
1886 0
1887 0
1888 0
1889 0
1890 0
1891 0
1924 0
1933 0
1934 0
1935 0
1942 0
1960 0
1961 0
1962 0
1963 0
2010 0
2011 0
2012 0
2036 0
2037 0
2039 0
2082 0
2092 0
2093 0
2119 0
2124 0
2168 0
2169 0
2176 0
2177 0
2178 0
2184 0
2210 0
2253 0
2254 0
2255 0
2256 0
2261 0
2262 0
2270 0
2332 0
2333 0
2334 0
2335 0
2344 0
2351 0
2352 0
2353 0
2417 0
2418 0
2419 0
2420 0
2421 0
2432 0
2440 0
2441 0
2460 0
2461 0
2504 0
2505 0
2506 0
2507 0
2533 0
2534 0
2551 0
2552 0
2553 0
2554 0
2555 0
2595 0
2596 0
2597 0
2598 0
2642 0
2643 0
2644 0
2645 0
2646 0
2647 0
2649 0
2689 0
2690 0
2691 0
2697 0
2738 0
2739 0
2740 0
2741 0
2742 0
2744 0
2781 0
2782 0
2783 0
2789 0
2790 0
2799 0
2832 0
2833 0
2834 0
2835 0
2836 0
2878 0
2879 0
2880 0
2881 0
2885 0
2886 0
2895 0
2926 0
2927 0
2928 0
2929 0
2930 0
2931 0
2970 0
2971 0
2976 0
2984 0
3015 0
3016 0
3017 0
3018 0
3019 0
3020 0
3057 0
3061 0
3062 0
3063 0
3075 0
3081 0
3105 0
3106 0
3107 0
3108 0
3109 0
3110 0
3111 0
3147 0
3151 0
3152 0
3153 0
3154 0
3155 0
3162 0
3163 0
3164 0
3167 0
3168 0
3191 0
3192 0
3193 0
3194 0
3195 0
3196 0
3197 0
3229 0
3233 0
3234 0
3235 0
3236 0
3245 0
3246 0
3248 0
3249 0
3250 0
3273 0
3274 0
3275 0
3276 0
3277 0
3278 0
3306 0
3307 0
3310 0
3311 0
3312 0
3313 0
3314 0
3320 0
3324 0
3325 0
3326 0
3327 0
3328 0
3351 0
3352 0
3353 0
3354 0
3378 0
3379 0
3380 0
3385 0
3386 0
3387 0
3392 0
3393 0
3397 0
3398 0
3399 0
3400 0
3401 0
3423 0
3424 0
3425 0
3448 0
3449 0
3450 0
3462 0
3463 0
3467 0
3468 0
3469 0
3470 0
3471 0
3495 0
3522 0
3523 0
3524 0
3535 0
3536 0
3537 0
3541 0
3542 0
3543 0
3589 0
3590 0
3601 0
3602 0
3603 0
3607 0
3608 0
3609 0
3653 0
3654 0
3665 0
3666 0
3667 0
3672 0
3713 0
3723 0
3724 0
3725 0
3726 0
3727 0
3728 0
3769 0
3782 0
3783 0
3784 0
3785 0
3786 0
3788 0
3789 0
3838 0
3839 0
3840 0
3841 0
3843 0
3844 0
3881 0
3892 0
3893 0
3894 0
3895 0
3896 0
3898 0
3899 0
3933 0
3934 0
3936 0
3948 0
3949 0
3950 0
3987 0
3988 0
3991 0
4007 0
4008 0
4009 0
4010 0
4048 0
4061 0
4062 0
4063 0
4140 0
4258 0
4259 0
4272 0
4273 0
4274 0
4275 0
4297 0
4311 0
4312 0
4313 0
4314 0
4315 0
4338 0
4352 0
4353 0
4354 0
4355 0
4394 0
4395 0
4432 0
4531 0
4569 0
4570 0
4590 0
4591 0
4598 0
4607 0
4608 0
4609 0
4629 0
4638 0
4647 0
4648 0
4665 0
4666 0
4686 0
4704 0
4705 0
4706 0
4708 0
4725 0
4726 0
4727 0
4744 0
4745 0
4746 0
4747 0
4750 0
4751 0
4764 0
4781 0
4782 0
4783 0
4784 0
4787 0
4793 0
4799 0
4800 0
4816 0
4817 0
4818 0
4819 0
4820 0
4823 0
4827 0
4833 0
4834 0
4835 0
4850 0
4851 0
4852 0
4853 0
4854 0
4861 0
4866 0
4867 0
4868 0
4869 0
4883 0
4884 0
4885 0
4886 0
4887 0
4891 0
4894 0
4895 0
4896 0
4912 0
4915 0
4916 0
4917 0
4918 0
4936 0
4937 0
4938 0
4939 0
4955 0
4956 0
4957 0
4958 0
4959 0
4960 0
4961 0
4977 0
4978 0
4979 0
4995 0
4996 0
5011 0
5026 0
5027 0
5042 0
5043 0
5044 0
5058 0
5059 0
5060 0
5061 0
5076 0
5077 0
5078 0
5079 0
5080 0
5081 0
5099 0
5100 0
5101 0
5102 0
5119 0
5120 0
5121 0
5122 0
5140 0
5141 0
5142 0
5143 0
5162 0
5163 0
5164 0
5165 0
5186 0
5187 0
5188 0
5211 0
5212 0
5213 0
5214 0
5236 0
5237 0
5238 0
5239 0
5240 0
5264 0
5265 0
5268 0
5269 0
5293 0
5294 0
5322 0
5323 0
5324 0
5325 0
5353 0
5354 0
5355 0
5383 0
5384 0
5413 0
5414 0
5443 0
5444 0
5474 0
5475 0
5508 0
5509 0
5510 0
5548 0
5588 0
5589 0
5590 0
5591 0
5633 0
5634 0
5635 0
5677 0
5678 0
5679 0
5680 0
5681 0
5682 0
5724 0
5725 0
5726 0
5727 0
5728 0
5769 0
5770 0
5771 0
5813 0
5933 0
5934 0
6264 0
6304 0
6480 0
6481 0
6521 0
6676 0
6716 0
6791 0
6905 0
7255 0
7297 0
7337 0
7385 0
7421 0
7422 0
7429 0
7473 0
7474 0
7480 0
7483 0
7484 0
7488 0
7541 0
7547 0
7602 0
7603 0
7604 0
7667 0
7668 0
7669 0
7673 0
7674 0
7675 0
7676 0
7742 0
7743 0
7745 0
7748 0
7794 0
7813 0
7819 0
7868 0
7889 0
7892 0
7941 0
7961 0
7966 0
7967 0
8035 0
8036 0
8037 0
8038 0
8040 0
8041 0
8111 0
8113 0
8115 0
8116 0
8118 0
8119 0
8194 0
8195 0
8276 0
8280 0
8281 0
8368 0
8369 0
8374 0
8381 0
8460 0
8461 0
8468 0
8556 0
8652 0
8655 0
8658 0
8760 0
8764 0
8780 0
8867 0
8868 0
8871 0
8978 0
8979 0
8983 0
9094 0
9099 0
9211 0
9941 0
10032 0
10067 0
10186 0
10285 0
10801 0
11043 0
11097 0
11098 0
11222 0
11223 0
11224 0
11271 0
11353 0
11354 0
11355 0
11403 0
11490 0
11491 0
11492 0
11493 0
11494 0
11495 0
11634 0
11635 0
11636 0
11637 0
11638 0
11639 0
11774 0
11775 0
11776 0
11777 0
11778 0
11779 0
11830 0
11920 0
11921 0
11922 0
11923 0
11924 0
12072 0
12073 0
12074 0
12075 0
12076 0
12169 0
12331 0
12553 0
13513 0
13688 0
13689 0
13766 0
13767 0
13949 0
13950 0
14131 0
14132 0
14133 0
14315 0
14316 0
14497 0
14498 0
14499 0
14600 0
14682 0
14783 0
14862 0
14865 0
15042 0
15045 0
15046 0
15225 0
15226 0
15404 0
16617 0
17484 0
17660 0
17836 0
18698 0
18873 0
19042 0
19043 0
19044 0
19045 0
19051 0
19054 0
19218 0
19219 0
19220 0
19221 0
19227 0
19230 0
19231 0
19232 0
19397 0
19398 0
19399 0
19400 0
19405 0
19406 0
19409 0
19410 0
19411 0
19412 0
19534 0
19535 0
19576 0
19577 0
19578 0
19579 0
19589 0
19590 0
19707 0
19708 0
19709 0
19749 0
19750 0
19751 0
19752 0
19754 0
19764 0
19765 0
19882 0
19883 0
19884 0
19885 0
19886 0
19925 0
19926 0
19927 0
19930 0
19933 0
19934 0
19935 0
19941 0
19942 0
19943 0
20052 0
20053 0
20054 0
20055 0
20056 0
20057 0
20058 0
20059 0
20091 0
20092 0
20096 0
20097 0
20098 0
20099 0
20105 0
20106 0
20107 0
20113 0
20114 0
20115 0
20213 0
20214 0
20215 0
20216 0
20217 0
20218 0
20219 0
20220 0
20221 0
20222 0
20249 0
20250 0
20251 0
20252 0
20255 0
20256 0
20257 0
20258 0
20264 0
20265 0
20266 0
20372 0
20373 0
20374 0
20375 0
20376 0
20377 0
20378 0
20379 0
20380 0
20381 0
20408 0
20409 0
20410 0
20411 0
20416 0
20417 0
20418 0
20424 0
20425 0
20426 0
20427 0
20519 0
20520 0
20531 0
20532 0
20533 0
20534 0
20537 0
20538 0
20539 0
20569 0
20573 0
20575 0
20576 0
20662 0
20663 0
20672 0
20676 0
20677 0
20678 0
20704 0
20711 0
20712 0
20714 0
20809 0
20811 0
20812 0
20820 0
20831 0
20832 0
20834 0
20837 0
20843 0
20844 0
20846 0
20847 0
20951 0
20952 0
20953 0
20963 0
20964 0
20965 0
20970 0
20971 0
20973 0
20974 0
21003 0
21055 0
21059 0
21079 0
21080 0
21081 0
21085 0
21086 0
21087 0
21091 0
21092 0
21096 0
21097 0
21100 0
21101 0
21178 0
21198 0
21201 0
21204 0
21205 0
21211 0
21214 0
21215 0
21216 0
21291 0
21293 0
21294 0
21297 0
21298 0
21313 0
21316 0
21322 0
21323 0
21324 0
21400 0
21402 0
21403 0
21406 0
21407 0
21408 0
21421 0
21424 0
21426 0
21429 0
21430 0
21431 0
21508 0
21509 0
21510 0
21511 0
21515 0
21516 0
21523 0
21525 0
21526 0
21609 0
21610 0
21611 0
21616 0
21622 0
21625 0
21626 0
21670 0
21709 0
21710 0
21711 0
21712 0
21723 0
21724 0
21725 0
21768 0
21808 0
21810 0
21822 0
21823 0
21824 0
21866 0
21867 0
21868 0
21877 0
21878 0
21881 0
21906 0
21907 0
21908 0
21909 0
21911 0
21919 0
21920 0
21921 0
21922 0
21961 0
21962 0
21963 0
21964 0
21971 0
21972 0
21974 0
21975 0
22000 0
22001 0
22002 0
22006 0
22013 0
22014 0
22015 0
22057 0
22058 0
22059 0
22060 0
22061 0
22067 0
22069 0
22093 0
22094 0
22095 0
22099 0
22101 0
22146 0
22150 0
22151 0
22152 0
22153 0
22154 0
22155 0
22160 0
22161 0
22162 0
22163 0
22187 0
22188 0
22190 0
22191 0
22192 0
22195 0
22200 0
22247 0
22248 0
22249 0
22250 0
22251 0
22252 0
22253 0
22256 0
22257 0
22258 0
22282 0
22284 0
22287 0
22292 0
22294 0
22295 0
22341 0
22342 0
22343 0
22344 0
22345 0
22348 0
22349 0
22373 0
22375 0
22377 0
22381 0
22387 0
22432 0
22433 0
22434 0
22435 0
22437 0
22464 0
22465 0
22466 0
22468 0
22473 0
22479 0
22524 0
22525 0
22526 0
22527 0
22528 0
22529 0
22553 0
22554 0
22557 0
22610 0
22611 0
22612 0
22613 0
22614 0
22638 0
22639 0
22652 0
22696 0
22697 0
22698 0
22699 0
22700 0
22726 0
22729 0
22731 0
22777 0
22778 0
22779 0
22780 0
22781 0
22782 0
22783 0
22784 0
22785 0
22786 0
22812 0
22814 0
22815 0
22863 0
22864 0
22865 0
22866 0
22867 0
22868 0
22869 0
22894 0
22896 0
22897 0
22947 0
22948 0
22949 0
22950 0
22951 0
22952 0
22953 0
22961 0
22977 0
22978 0
22979 0
22980 0
23018 0
23019 0
23030 0
23031 0
23032 0
23033 0
23034 0
23035 0
23036 0
23039 0
23042 0
23058 0
23066 0
23100 0
23112 0
23113 0
23114 0
23115 0
23116 0
23117 0
23118 0
23121 0
23141 0
23189 0
23190 0
23191 0
23192 0
23193 0
23194 0
23196 0
23197 0
23213 0
23221 0
23222 0
23254 0
23267 0
23268 0
23269 0
23270 0
23271 0
23272 0
23273 0
23274 0
23296 0
23297 0
23298 0
23299 0
23344 0
23345 0
23346 0
23347 0
23348 0
23349 0
23350 0
23351 0
23369 0
23370 0
23414 0
23415 0
23416 0
23417 0
23418 0
23419 0
23420 0
23436 0
23439 0
23441 0
23487 0
23488 0
23489 0
23490 0
23491 0
23492 0
23493 0
23494 0
23495 0
23496 0
23497 0
23519 0
23520 0
23565 0
23566 0
23567 0
23568 0
23569 0
23570 0
23572 0
23573 0
23574 0
23575 0
23593 0
23644 0
23645 0
23646 0
23647 0
23648 0
23649 0
23651 0
23652 0
23653 0
23654 0
23656 0
23657 0
23672 0
23726 0
23727 0
23733 0
23734 0
23735 0
23736 0
23737 0
23738 0
23752 0
23753 0
23760 0
23816 0
23817 0
23818 0
23819 0
23820 0
23821 0
23822 0
23843 0
23844 0
23899 0
23900 0
23901 0
23902 0
23903 0
23904 0
23905 0
23906 0
23907 0
23929 0
23930 0
23985 0
23986 0
23987 0
23988 0
23989 0
23990 0
23991 0
23992 0
24007 0
24011 0
24012 0
24068 0
24069 0
24070 0
24071 0
24072 0
24073 0
24074 0
24075 0
24076 0
24077 0
24078 0
24079 0
24080 0
24094 0
24095 0
24099 0
24100 0
24101 0
24157 0
24158 0
24159 0
24160 0
24161 0
24162 0
24163 0
24164 0
24178 0
24179 0
24181 0
24182 0
24240 0
24241 0
24242 0
24243 0
24244 0
24245 0
24246 0
24247 0
24261 0
24262 0
24263 0
24324 0
24325 0
24326 0
24327 0
24328 0
24329 0
24330 0
24331 0
24345 0
24346 0
24347 0
24348 0
24410 0
24411 0
24412 0
24413 0
24414 0
24415 0
24416 0
24417 0
24418 0
24419 0
24420 0
24434 0
24435 0
24436 0
24438 0
24501 0
24502 0
24503 0
24504 0
24505 0
24506 0
24507 0
24508 0
24509 0
24510 0
24511 0
24525 0
24526 0
24592 0
24593 0
24594 0
24595 0
24596 0
24597 0
24598 0
24599 0
24600 0
24601 0
24605 0
24615 0
24616 0
24617 0
24685 0
24686 0
24687 0
24688 0
24689 0
24690 0
24691 0
24692 0
24693 0
24694 0
24695 0
24696 0
24697 0
24698 0
24699 0
24700 0
24710 0
24711 0
24712 0
24713 0
24776 0
24777 0
24778 0
24779 0
24780 0
24781 0
24782 0
24783 0
24784 0
24785 0
24786 0
24787 0
24797 0
24798 0
24799 0
24800 0
24867 0
24868 0
24869 0
24870 0
24881 0
24882 0
24883 0
24886 0
24887 0
24950 0
24951 0
24952 0
24953 0
24965 0
24967 0
24968 0
24969 0
25031 0
25032 0
25033 0
25034 0
25046 0
25047 0
25049 0
25050 0
25051 0
25113 0
25114 0
25115 0
25127 0
25128 0
25129 0
25156 0
25191 0
25203 0
25204 0
25232 0
25262 0
25263 0
25277 0
25304 0
25305 0
25331 0
25332 0
25333 0
25334 0
25374 0
25375 0
25399 0
25400 0
25401 0
25402 0
25403 0
25404 0
25416 0
25468 0
25469 0
25470 0
25471 0
25472 0
25473 0
25474 0
25475 0
25486 0
25536 0
25537 0
25538 0
25539 0
25540 0
25602 0
25603 0
25604 0
25605 0
25606 0
25607 0
25608 0
25619 0
25620 0
25670 0
25671 0
25672 0
25673 0
25674 0
25685 0
25686 0
25734 0
25735 0
25736 0
