pt_graph abundance
9628 0
9628 0
9628 0.00001311
9628 0
9629 0
9629 0
9629 0.00001311
9629 0
9630 0
9630 0
9630 0.00001311
9630 0
9631 0
9631 0
9631 0.00001311
9631 0
9632 0
9632 0
9632 0.00001311
9632 0
9633 0
9633 0
9633 0.00001311
9633 0
9634 0
9634 0
9634 0.00001311
9634 0
9635 0
9635 0
9635 0.00001311
9635 0
9636 0
9636 0
9636 0.00001311
9636 0
9637 0
9637 0
9637 0.00001311
9637 0
9638 0
9638 0
9638 0.00001311
9638 0
9639 0
9639 0
9639 0.00001311
9639 0
9745 0
9745 0
9745 0.00001311
9745 0
9746 0
9746 0
9746 0.00001311
9746 0
9747 0
9747 0
9747 0.00001311
9747 0
9748 0
9748 0
9748 0.00001311
9748 0
9749 0
9749 0
9749 0.00001311
9749 0
9750 0
9750 0
9750 0.00001311
9750 0
9751 0
9751 0
9751 0.00001311
9751 0
9752 0
9752 0
9752 0.00001311
9752 0
9753 0
9753 0
9753 0.00001311
9753 0
9754 0
9754 0
9754 0.00001311
9754 0
9755 0
9755 0
9755 0.00001311
9755 0
9756 0
9756 0
9756 0.00001311
9756 0
9757 0
9757 0
9757 0.00001311
9757 0
9758 0
9758 0
9758 0.00001311
9758 0
9759 0
9759 0
9759 0.00001311
9759 0
9760 0
9760 0
9760 0.00001311
9760 0
9863 0
9863 0
9863 0.00001311
9863 0
9864 0
9864 0
9864 0.00001311
9864 0
9865 0
9865 0
9865 0.00001311
9865 0.00087719
9866 0
9866 0
9866 0.00001311
9866 0.00087719
9867 0
9867 0
9867 0.00001311
9867 0.00087719
9868 0
9868 0
9868 0.00001311
9868 0.00087719
9869 0
9869 0
9869 0.00001311
9869 0.00087719
9870 0
9870 0
9870 0.00001311
9870 0.00087719
9871 0
9871 0
9871 0.00001311
9871 0.00087719
9872 0
9872 0
9872 0.00001311
9872 0.00087719
9873 0
9873 0
9873 0.00001311
9873 0.00087719
9874 0
9874 0
9874 0.00001311
9874 0.00087719
9875 0
9875 0
9875 0.00001311
9875 0.00087719
9876 0
9876 0
9876 0.00001311
9876 0.00087719
9877 0
9877 0
9877 0.00001311
9877 0.00087719
9878 0
9878 0
9878 0.00001311
9878 0
9879 0
9879 0
9879 0.00001311
9879 0
9880 0
9880 0
9880 0.00001311
9880 0
9881 0
9881 0
9881 0.00001311
9881 0
9984 0
9984 0
9984 0.00001311
9984 0
9985 0
9985 0
9985 0.00001311
9985 0
9986 0
9986 0
9986 0.00001311
9986 0.00087719
9987 0
9987 0
9987 0.00001311
9987 0.00087719
9988 0
9988 0
9988 0.00001311
9988 0.00087719
9989 0
9989 0
9989 0.00001311
9989 0.00087719
9990 0
9990 0
9990 0.00001311
9990 0.00087719
9991 0
9991 0
9991 0.00001311
9991 0.00087719
9992 0
9992 0
9992 0.00014043
9992 0.00087719
9993 0
9993 0
9993 0.00014043
9993 0.00087719
9994 0
9994 0
9994 0.00001311
9994 0.00087719
9995 0
9995 0
9995 0.00001311
9995 0.00087719
9996 0
9996 0
9996 0.00001311
9996 0.00087719
9997 0
9997 0
9997 0.00001311
9997 0.00087719
9998 0
9998 0
9998 0.00001311
9998 0.00087719
9999 0
9999 0
9999 0.00001311
9999 0.00087719
10000 0
10000 0
10000 0.00001311
10000 0.00087719
10001 0
10001 0
10001 0.00001311
10001 0.00087719
10002 0
10002 0
10002 0.00001311
10002 0
10003 0
10003 0
10003 0.00001311
10003 0
10004 0
10004 0
10004 0.00001311
10004 0
10005 0
10005 0
10005 0.00001311
10005 0
10108 0
10108 0
10108 0.00001311
10108 0
10109 0
10109 0
10109 0.00001311
10109 0.00087719
10110 0
10110 0
10110 0.00001311
10110 0.00087719
10111 0
10111 0
10111 0.00014043
10111 0.00087719
10112 0
10112 0
10112 0.00014043
10112 0.00087719
10113 0
10113 0
10113 0.00014043
10113 0.00087719
10114 0
10114 0
10114 0.00014043
10114 0.00087719
10115 0
10115 0
10115 0.00014043
10115 0.00087719
10116 0
10116 0
10116 0.00014043
10116 0.00087719
10117 0
10117 0
10117 0.00014043
10117 0.00087719
10118 0
10118 0
10118 0.00014043
10118 0.00087719
10119 0
10119 0
10119 0.00014043
10119 0.00087719
10120 0
10120 0
10120 0.00014043
10120 0.00087719
10121 0
10121 0
10121 0.00014043
10121 0.00087719
10122 0
10122 0
10122 0.00014043
10122 0.00087719
10123 0
10123 0
10123 0.00014043
10123 0.00087719
10124 0
10124 0
10124 0.00014043
10124 0.00087719
10125 0
10125 0
10125 0.00014043
10125 0.00087719
10126 0
10126 0
10126 0.00001311
10126 0
10127 0
10127 0
10127 0.00001311
10127 0
10128 0
10128 0
10128 0.00001311
10128 0
10129 0
10129 0
10129 0.00001311
10129 0
10130 0
10130 0
10130 0.00001311
10130 0
10131 0
10131 0
10131 0.00001311
10131 0
10236 0
10236 0
10236 0.00001311
10236 0.00087719
10237 0
10237 0
10237 0.00014043
10237 0.00087719
10238 0
10238 0
10238 0.00014043
10238 0.00087719
10239 0
10239 0
10239 0.00014043
10239 0.00087719
10240 0
10240 0
10240 0.00028584
10240 0.0030303
10241 0
10241 0
10241 0.00028584
10241 0.0030303
10242 0
10242 0
10242 0.00028584
10242 0.0030303
10243 0
10243 0
10243 0.00028584
10243 0.0030303
10244 0
10244 0
10244 0.00028584
10244 0.0030303
10245 0
10245 0
10245 0.00028584
10245 0.0030303
10246 0
10246 0
10246 0.00028584
10246 0.0030303
10247 0
10247 0
10247 0.00028584
10247 0.0030303
10248 0
10248 0
10248 0.00028584
10248 0.0030303
10249 0
10249 0
10249 0.00028584
10249 0.0030303
10250 0
10250 0
10250 0.00028584
10250 0.0030303
10251 0
10251 0
10251 0.00028584
10251 0.0030303
10252 0
10252 0
10252 0.00014043
10252 0.00087719
10253 0
10253 0
10253 0.00014043
10253 0.00087719
10254 0
10254 0
10254 0.00014043
10254 0
10255 0
10255 0
10255 0.00014043
10255 0
10256 0
10256 0
10256 0.00014043
10256 0
10257 0
10257 0
10257 0.00001311
10257 0
10258 0
10258 0
10258 0.00001311
10258 0
10259 0
10259 0
10259 0.00001311
10259 0
10260 0
10260 0
10260 0.00001311
10260 0
10365 0
10365 0
10365 0.00014043
10365 0.00087719
10366 0
10366 0
10366 0.00014043
10366 0.00087719
10367 0
10367 0
10367 0.00014043
10367 0.00087719
10368 0
10368 0
10368 0.00028584
10368 0.0030303
10369 0
10369 0
10369 0.00028584
10369 0.0030303
10370 0
10370 0
10370 0.00028584
10370 0.0030303
10371 0
10371 0
10371 0.00028584
10371 0.0030303
10372 0
10372 0
10372 0.00028584
10372 0.0030303
10373 0
10373 0
10373 0.00075139
10373 0.0030303
10374 0
10374 0
10374 0.00075139
10374 0.0030303
10375 0
10375 0
10375 0.00075139
10375 0.0030303
10376 0
10376 0
10376 0.00075139
10376 0.0030303
10377 0
10377 0
10377 0.00028584
10377 0.0030303
10378 0
10378 0
10378 0.00028584
10378 0.0030303
10379 0
10379 0
10379 0.00028584
10379 0.0030303
