pt_graph freq
732 0.75
732 0.25
868 0.75
868 0.25
872 0.75
872 0.25
873 0.75
873 0.25
874 0.75
874 0.25
915 0.75
915 0.25
918 0.75
918 0.25
919 0.75
919 0.25
920 0.75
920 0.25
967 0.75
967 0.25
968 0.75
968 0.25
1024 0.75
1024 0.25
1082 0.75
1082 0.25
1150 0.75
1150 0.25
1152 0.75
1152 0.25
1219 0.75
1219 0.25
1221 0.75
1221 0.25
1296 0.75
1296 0.25
1378 0.75
1378 0.25
1458 0.75
1458 0.25
1460 0.75
1460 0.25
1462 0.75
1462 0.25
1547 0.75
1547 0.25
1548 0.75
1548 0.25
1549 0.75
1549 0.25
1627 0.75
1627 0.25
1714 0.75
1714 0.25
1829 0.75
1829 0.25
1905 0.75
1905 0.25
1920 0.75
1920 0.25
1996 0.75
1996 0.25
1997 0.75
1997 0.25
2013 0.75
2013 0.25
2090 0.75
2090 0.25
2091 0.75
2091 0.25
2166 0.75
2166 0.25
2184 0.75
2184 0.25
2186 0.75
2186 0.25
2201 0.75
2201 0.25
2202 0.75
2202 0.25
2258 0.75
2258 0.25
2273 0.75
2273 0.25
2290 0.75
2290 0.25
2349 0.75
2349 0.25
2440 0.75
2440 0.25
2522 0.75
2522 0.25
2536 0.75
2536 0.25
2552 0.75
2552 0.25
2672 0.75
2672 0.25
2673 0.75
2673 0.25
2742 0.75
2742 0.25
2746 0.75
2746 0.25
2816 0.75
2816 0.25
2817 0.75
2817 0.25
2819 0.75
2819 0.25
2882 0.75
2882 0.25
2883 0.75
2883 0.25
2946 0.75
2946 0.25
2947 0.75
2947 0.25
2973 0.75
2973 0.25
2974 0.75
2974 0.25
3006 0.75
3006 0.25
3028 0.75
3028 0.25
3034 0.75
3034 0.25
3035 0.75
3035 0.25
3065 0.75
3065 0.25
3094 0.75
3094 0.25
3101 0.75
3101 0.25
3148 0.75
3148 0.25
3149 0.75
3149 0.25
3155 0.75
3155 0.25
3156 0.75
3156 0.25
3202 0.75
3202 0.25
3203 0.75
3203 0.25
3206 0.75
3206 0.25
3209 0.75
3209 0.25
3211 0.75
3211 0.25
3212 0.75
3212 0.25
3260 0.75
3260 0.25
3264 0.75
3264 0.25
3265 0.75
3265 0.25
3266 0.75
3266 0.25
3314 0.75
3314 0.25
3317 0.75
3317 0.25
3323 0.75
3323 0.25
3327 0.75
3327 0.25
3344 0.75
3344 0.25
3366 0.75
3366 0.25
3372 0.75
3372 0.25
3374 0.75
3374 0.25
3375 0.75
3375 0.25
3378 0.75
3378 0.25
3409 0.75
3409 0.25
3410 0.75
3410 0.25
3411 0.75
3411 0.25
3423 0.75
3423 0.25
3452 0.75
3452 0.25
3459 0.75
3459 0.25
3461 0.75
3461 0.25
3462 0.75
3462 0.25
3466 0.75
3466 0.25
3496 0.75
3496 0.25
3498 0.75
3498 0.25
3499 0.75
3499 0.25
3500 0.75
3500 0.25
3502 0.75
3502 0.25
3503 0.75
3503 0.25
3534 0.75
3534 0.25
3536 0.75
3536 0.25
3538 0.75
3538 0.25
3540 0.75
3540 0.25
3541 0.75
3541 0.25
3542 0.75
3542 0.25
3576 0.75
3576 0.25
3577 0.75
3577 0.25
3578 0.75
3578 0.25
3579 0.75
3579 0.25
3581 0.75
3581 0.25
3582 0.75
3582 0.25
3584 0.75
3584 0.25
3585 0.75
3585 0.25
3617 0.75
3617 0.25
3618 0.75
3618 0.25
3619 0.75
3619 0.25
3620 0.75
3620 0.25
3622 0.75
3622 0.25
3623 0.75
3623 0.25
3625 0.75
3625 0.25
3626 0.75
3626 0.25
3659 0.75
3659 0.25
3660 0.75
3660 0.25
3661 0.75
3661 0.25
3662 0.75
3662 0.25
3663 0.75
3663 0.25
3664 0.75
3664 0.25
3665 0.75
3665 0.25
3666 0.75
3666 0.25
3700 0.75
3700 0.25
3701 0.75
3701 0.25
3702 0.75
3702 0.25
3703 0.75
3703 0.25
3704 0.75
3704 0.25
3740 0.75
3740 0.25
3873 0.75
3873 0.25
4174 0.75
4174 0.25
4187 0.75
4187 0.25
4236 0.75
4236 0.25
4255 0.75
4255 0.25
