pt_graph freq
770 0.75
770 0.25
775 0.75
775 0.25
820 0.75
820 0.25
868 0.75
868 0.25
873 0.75
873 0.25
874 0.75
874 0.25
875 0.75
875 0.25
915 0.75
915 0.25
917 0.75
917 0.25
918 0.75
918 0.25
920 0.75
920 0.25
967 0.75
967 0.25
968 0.75
968 0.25
970 0.75
970 0.25
1024 0.75
1024 0.25
1026 0.75
1026 0.25
1082 0.75
1082 0.25
1150 0.75
1150 0.25
1152 0.75
1152 0.25
1219 0.75
1219 0.25
1221 0.75
1221 0.25
1296 0.75
1296 0.25
1378 0.75
1378 0.25
1547 0.75
1547 0.25
1548 0.75
1548 0.25
1549 0.75
1549 0.25
1627 0.75
1627 0.25
1829 0.75
1829 0.25
1905 0.75
1905 0.25
1920 0.75
1920 0.25
1997 0.75
1997 0.25
2069 0.75
2069 0.25
2090 0.75
2090 0.25
2091 0.75
2091 0.25
2166 0.75
2166 0.25
2167 0.75
2167 0.25
2184 0.75
2184 0.25
2186 0.75
2186 0.25
2258 0.75
2258 0.25
2272 0.75
2272 0.25
2273 0.75
2273 0.25
2290 0.75
2290 0.25
2349 0.75
2349 0.25
2440 0.75
2440 0.25
2522 0.75
2522 0.25
2672 0.75
2672 0.25
2673 0.75
2673 0.25
2675 0.75
2675 0.25
2716 0.75
2716 0.25
2742 0.75
2742 0.25
2786 0.75
2786 0.25
2787 0.75
2787 0.25
2816 0.75
2816 0.25
2817 0.75
2817 0.25
2845 0.75
2845 0.25
2857 0.75
2857 0.25
2858 0.75
2858 0.25
2883 0.75
2883 0.25
2909 0.75
2909 0.25
2923 0.75
2923 0.25
2924 0.75
2924 0.25
2947 0.75
2947 0.25
2974 0.75
2974 0.25
2985 0.75
2985 0.25
2987 0.75
2987 0.25
3006 0.75
3006 0.25
3034 0.75
3034 0.25
3043 0.75
3043 0.25
3065 0.75
3065 0.25
3089 0.75
3089 0.25
3092 0.75
3092 0.25
3093 0.75
3093 0.25
3094 0.75
3094 0.25
3101 0.75
3101 0.25
3103 0.75
3103 0.25
3105 0.75
3105 0.25
3147 0.75
3147 0.25
3155 0.75
3155 0.25
3156 0.75
3156 0.25
3157 0.75
3157 0.25
3203 0.75
3203 0.25
3208 0.75
3208 0.25
3209 0.75
3209 0.25
3211 0.75
3211 0.25
3212 0.75
3212 0.25
3213 0.75
3213 0.25
3214 0.75
3214 0.25
3248 0.75
3248 0.25
3258 0.75
3258 0.25
3259 0.75
3259 0.25
