pt_graph met
263 12
287 12
309 12
332 12
355 12
385 12
403 12
409 12
428 12
429 12
430 12
431 12
452 12
453 12
458 12
476 12
477 12
481 12
505 12
506 12
530 12
531 12
556 12
582 12
608 12
716 12
805 12
837 12
870 12
899 12
901 12
965 12
1529 12
1892 12
2006 12
2293 12
2296 12
2374 12
2375 12
2376 12
2464 12
2745 12
3023 12
3058 12
3286 12
3309 12
3382 12
3526 12
4667 12
5124 12
5191 12
5192 12
5193 12
5216 12
5242 12
5257 12
5478 12
5479 12
5513 12
5514 12
5515 12
5516 12
5550 12
5551 12
5552 12
5553 12
5594 12
5595 12
5596 12
5637 12
5638 12
5639 12
5640 12
5671 12
5672 12
5683 12
5684 12
5685 12
5686 12
5712 12
5716 12
5729 12
5730 12
5731 12
5762 12
5772 12
5789 12
5804 12
5805 12
5843 12
5846 12
5847 12
5883 12
5885 12
5889 12
5895 12
5908 12
5911 12
5912 12
5924 12
5925 12
5926 12
5956 12
5963 12
5997 12
6001 12
6002 12
6038 12
6039 12
6077 12
6114 12
6115 12
6152 12
6154 12
6234 12
6312 12
6316 12
6353 12
6356 12
6392 12
6397 12
6437 12
6477 12
6514 12
6515 12
6518 12
6554 12
6594 12
7061 12
7105 12
7406 12
7513 12
7800 12
7871 12
7872 12
7873 12
7944 12
7945 12
7946 12
7947 12
8019 12
8020 12
8021 12
8022 12
8097 12
8175 12
35775 12
35924 12
36022 12
36070 12
36071 12
36168 12
36288 12
36291 12
36327 12
36331 12
36349 12
36368 12
36375 12
36411 12
36413 12
36425 12
36448 12
36449 12
36476 12
36477 12
36485 12
36487 12
36500 12
36514 12
36515 12
36523 12
36524 12
36561 12
36613 12
36998 12
37141 12
37678 12
