pt_graph met
5658 3
5659 3
5660 3
5661 3
5662 3
5702 3
5703 3
5704 3
5705 3
5706 3
5707 3
5748 3
5749 3
5750 3
5751 3
5752 3
5753 3
5754 3
5790 3
5791 3
5792 3
5793 3
5794 3
5795 3
5796 3
5797 3
5832 3
5833 3
5834 3
5835 3
5836 3
5837 3
5838 3
5839 3
5872 3
5873 3
5874 3
5875 3
5876 3
5877 3
5878 3
5879 3
5911 3
5912 3
5913 3
5914 3
5916 3
5951 3
5952 3
5953 3
5954 3
5988 3
5989 3
5990 3
5991 3
5992 3
6026 3
6027 3
6028 3
6029 3
6030 3
6063 3
6064 3
6065 3
6066 3
6067 3
6068 3
6101 3
6102 3
6103 3
6104 3
6105 3
6106 3
6139 3
6140 3
6141 3
6143 3
6144 3
6177 3
6178 3
6179 3
6180 3
6181 3
6216 3
6217 3
6218 3
6220 3
6221 3
6256 3
6257 3
6258 3
6259 3
6260 3
6261 3
6297 3
6298 3
6299 3
6300 3
36990 3
37073 3
