pt_graph freq
1935 1
2013 1
2178 1
2262 1
2263 1
2341 1
2342 1
2427 1
2428 1
2514 1
2515 1
2516 1
2517 1
2518 1
2519 1
2520 1
2521 1
2522 1
2605 1
2606 1
2607 1
2608 1
2609 1
2610 1
2611 1
2612 1
2613 1
2698 1
2699 1
2700 1
2701 1
2702 1
2703 1
2704 1
2705 1
2706 1
2790 1
2791 1
2792 1
2793 1
2794 1
2795 1
2796 1
2797 1
2798 1
2799 1
2800 1
2887 1
2888 1
2889 1
2890 1
2891 1
2892 1
2893 1
2894 1
2895 1
2896 1
2977 1
2978 1
2979 1
2980 1
2981 1
2982 1
2983 1
2984 1
2985 1
3068 1
3069 1
3070 1
3071 1
3072 1
3073 1
3074 1
3075 1
3159 1
3160 1
3161 1
3162 1
3163 1
3164 1
3241 1
3242 1
3243 1
3244 1
3245 1
3246 1
3247 1
3320 1
3321 1
3322 1
3323 1
3324 1
3394 1
3395 1
3396 1
3397 1
36891 1
37101 1
37135 1
37212 1
