pt_graph met
7239 10
7239 11
7322 10
7322 11
7323 10
7323 11
7358 10
7358 11
7565 10
7565 11
7627 10
7627 11
7633 10
7633 11
7691 10
7691 11
7692 10
7692 11
7693 10
7693 11
7764 10
7764 11
7800 10
7800 11
7832 10
7832 11
7834 10
7834 11
7835 10
7835 11
7872 10
7872 11
7905 10
7905 11
7906 10
7906 11
7908 10
7908 11
7948 10
7948 11
7980 10
7980 11
7981 10
7981 11
7982 10
7982 11
8019 10
8019 11
8051 10
8051 11
8054 10
8054 11
8055 10
8055 11
8056 10
8056 11
8132 10
8132 11
8133 10
8133 11
8134 10
8134 11
8145 10
8145 11
8214 10
8214 11
8215 10
8215 11
8216 10
8216 11
8301 10
8301 11
8302 10
8302 11
8303 10
8303 11
8308 10
8308 11
8394 10
8394 11
8395 10
8395 11
8396 10
8396 11
8483 10
8483 11
8489 10
8489 11
8490 10
8490 11
8492 10
8492 11
8578 10
8578 11
8579 10
8579 11
8585 10
8585 11
8586 10
8586 11
8587 10
8587 11
8682 10
8682 11
8690 10
8690 11
8691 10
8691 11
8692 10
8692 11
8693 10
8693 11
8790 10
8790 11
8792 10
8792 11
8798 10
8798 11
8799 10
8799 11
8800 10
8800 11
8901 10
8901 11
8910 10
8910 11
8911 10
8911 11
8912 10
8912 11
9025 10
9025 11
9026 10
9026 11
9027 10
9027 11
9028 10
9028 11
9144 10
9144 11
9145 10
9145 11
9146 10
9146 11
9265 10
9265 11
9267 10
9267 11
9387 10
9387 11
9389 10
9389 11
9510 10
9510 11
9511 10
9511 11
9513 10
9513 11
9514 10
9514 11
9515 10
9515 11
9633 10
9633 11
9634 10
9634 11
9635 10
9635 11
9636 10
9636 11
9743 10
9743 11
9744 10
9744 11
9750 10
9750 11
9751 10
9751 11
9752 10
9752 11
9753 10
9753 11
9755 10
9755 11
9756 10
9756 11
9986 10
9986 11
10123 10
10123 11
10245 10
10245 11
10252 10
10252 11
10365 10
10365 11
10374 10
10374 11
10491 10
10491 11
10500 10
10500 11
10622 10
10622 11
10740 10
10740 11
10741 10
10741 11
10742 10
10742 11
10743 10
10743 11
10861 10
10861 11
10862 10
10862 11
10863 10
10863 11
10865 10
10865 11
10869 10
10869 11
10978 10
10978 11
10979 10
10979 11
10980 10
10980 11
10981 10
10981 11
10982 10
10982 11
10983 10
10983 11
10984 10
10984 11
10985 10
10985 11
11099 10
11099 11
11100 10
11100 11
11106 10
11106 11
11108 10
11108 11
11110 10
11110 11
11111 10
11111 11
11112 10
11112 11
11114 10
11114 11
11232 10
11232 11
11233 10
11233 11
11234 10
11234 11
11238 10
11238 11
11242 10
11242 11
11245 10
11245 11
11364 10
11364 11
11365 10
11365 11
11366 10
11366 11
11367 10
11367 11
11369 10
11369 11
11371 10
11371 11
11374 10
11374 11
11375 10
11375 11
11498 10
11498 11
11502 10
11502 11
11504 10
11504 11
11505 10
11505 11
11507 10
11507 11
11508 10
11508 11
11509 10
11509 11
11510 10
11510 11
11512 10
11512 11
11515 10
11515 11
11516 10
11516 11
11645 10
11645 11
11647 10
11647 11
11648 10
11648 11
11649 10
11649 11
11650 10
11650 11
11652 10
11652 11
11653 10
11653 11
11654 10
11654 11
11782 10
11782 11
11783 10
11783 11
11784 10
11784 11
11785 10
11785 11
11786 10
11786 11
11787 10
11787 11
11788 10
11788 11
11789 10
11789 11
11790 10
11790 11
11791 10
11791 11
11792 10
11792 11
11793 10
11793 11
11796 10
11796 11
11802 10
11802 11
11926 10
11926 11
11927 10
11927 11
11928 10
11928 11
11929 10
11929 11
11931 10
11931 11
11932 10
11932 11
11933 10
11933 11
11934 10
11934 11
11935 10
11935 11
11936 10
11936 11
11937 10
11937 11
11941 10
11941 11
11942 10
11942 11
12078 10
12078 11
12079 10
12079 11
12080 10
12080 11
12081 10
12081 11
12082 10
12082 11
12083 10
12083 11
12085 10
12085 11
12086 10
12086 11
12087 10
12087 11
12088 10
12088 11
12089 10
12089 11
12090 10
12090 11
12091 10
12091 11
12092 10
12092 11
12093 10
12093 11
12094 10
12094 11
12096 10
12096 11
12097 10
12097 11
12102 10
12102 11
12230 10
12230 11
12232 10
12232 11
12233 10
12233 11
12234 10
12234 11
12235 10
12235 11
12236 10
12236 11
12237 10
12237 11
12238 10
12238 11
12240 10
12240 11
12241 10
12241 11
12242 10
12242 11
12243 10
12243 11
12244 10
12244 11
12245 10
12245 11
12246 10
12246 11
12247 10
12247 11
12248 10
12248 11
12249 10
12249 11
12250 10
12250 11
12254 10
12254 11
12257 10
12257 11
12392 10
12392 11
12395 10
12395 11
12396 10
12396 11
12397 10
12397 11
12399 10
12399 11
12401 10
12401 11
12403 10
12403 11
12404 10
12404 11
12405 10
12405 11
12406 10
12406 11
12408 10
12408 11
12409 10
12409 11
12410 10
12410 11
12411 10
12411 11
12412 10
12412 11
12413 10
12413 11
12414 10
12414 11
12420 10
12420 11
12443 10
12443 11
12557 10
12557 11
12559 10
12559 11
12561 10
12561 11
12563 10
12563 11
12570 10
12570 11
12572 10
12572 11
12573 10
12573 11
12574 10
12574 11
12575 10
12575 11
12576 10
12576 11
12577 10
12577 11
12578 10
12578 11
12579 10
12579 11
12580 10
12580 11
12584 10
12584 11
12586 10
12586 11
12607 10
12607 11
12609 10
12609 11
12723 10
12723 11
12725 10
12725 11
12726 10
12726 11
12729 10
12729 11
12738 10
12738 11
12740 10
12740 11
12742 10
12742 11
12743 10
12743 11
12744 10
12744 11
12745 10
12745 11
12746 10
12746 11
12747 10
12747 11
12748 10
12748 11
12753 10
12753 11
12754 10
12754 11
12755 10
12755 11
12908 10
12908 11
12911 10
12911 11
12913 10
12913 11
12914 10
12914 11
12915 10
12915 11
12916 10
12916 11
12917 10
12917 11
12919 10
12919 11
12926 10
12926 11
13072 10
13072 11
13099 10
13099 11
13238 10
13238 11
13239 10
13239 11
13240 10
13240 11
13241 10
13241 11
13244 10
13244 11
13249 10
13249 11
13270 10
13270 11
13271 10
13271 11
13294 10
13294 11
13417 10
13417 11
13418 10
13418 11
13420 10
13420 11
13590 10
13590 11
13592 10
13592 11
13597 10
13597 11
13621 10
13621 11
13771 10
13771 11
13775 10
13775 11
13805 10
13805 11
13954 10
13954 11
13958 10
13958 11
14137 10
14137 11
14172 10
14172 11
14318 10
14318 11
14369 10
14369 11
14501 10
14501 11
14539 10
14539 11
14719 10
14719 11
14903 10
14903 11
15445 10
15445 11
16301 10
16301 11
17155 10
17155 11
17501 10
17501 11
17504 10
17504 11
17675 10
17675 11
17678 10
17678 11
17680 10
17680 11
18026 10
18026 11
18027 10
18027 11
18028 10
18028 11
18194 10
18194 11
18198 10
18198 11
18199 10
18199 11
18373 10
18373 11
18377 10
18377 11
18551 10
18551 11
18723 10
18723 11
18724 10
18724 11
18728 10
18728 11
18743 10
18743 11
18917 10
18917 11
19072 10
19072 11
19093 10
19093 11
19247 10
19247 11
19428 10
19428 11
19780 10
19780 11
19781 10
19781 11
19783 10
19783 11
20134 10
20134 11
20135 10
20135 11
20136 10
20136 11
20147 10
20147 11
20609 10
20609 11
20747 10
20747 11
20748 10
20748 11
20751 10
20751 11
20882 10
20882 11
20886 10
20886 11
