pt_graph met
8121 3
8121 11
8201 3
8201 11
8203 3
8203 11
8285 3
8285 11
8286 3
8286 11
8287 3
8287 11
8288 3
8288 11
8289 3
8289 11
8290 3
8290 11
8291 3
8291 11
8372 3
8372 11
8373 3
8373 11
8374 3
8374 11
8375 3
8375 11
8376 3
8376 11
8377 3
8377 11
8378 3
8378 11
8379 3
8379 11
8380 3
8380 11
8381 3
8381 11
8382 3
8382 11
8383 3
8383 11
8384 3
8384 11
8465 3
8465 11
8466 3
8466 11
8467 3
8467 11
8468 3
8468 11
8469 3
8469 11
8470 3
8470 11
8471 3
8471 11
8472 3
8472 11
8473 3
8473 11
8474 3
8474 11
8475 3
8475 11
8476 3
8476 11
8477 3
8477 11
8478 3
8478 11
8479 3
8479 11
8559 3
8559 11
8560 3
8560 11
8561 3
8561 11
8562 3
8562 11
8563 3
8563 11
8564 3
8564 11
8565 3
8565 11
8566 3
8566 11
8567 3
8567 11
8568 3
8568 11
8569 3
8569 11
8570 3
8570 11
8571 3
8571 11
8572 3
8572 11
8573 3
8573 11
8574 3
8574 11
8575 3
8575 11
8656 3
8656 11
8657 3
8657 11
8658 3
8658 11
8659 3
8659 11
8660 3
8660 11
8661 3
8661 11
8662 3
8662 11
8663 3
8663 11
8664 3
8664 11
8665 3
8665 11
8666 3
8666 11
8667 3
8667 11
8668 3
8668 11
8669 3
8669 11
8670 3
8670 11
8671 3
8671 11
8672 3
8672 11
8673 3
8673 11
8674 3
8674 11
8675 3
8675 11
8676 3
8676 11
8677 3
8677 11
8678 3
8678 11
8680 3
8680 11
8762 3
8762 11
8763 3
8763 11
8764 3
8764 11
8765 3
8765 11
8766 3
8766 11
8767 3
8767 11
8768 3
8768 11
8769 3
8769 11
8770 3
8770 11
8771 3
8771 11
8772 3
8772 11
8773 3
8773 11
8774 3
8774 11
8775 3
8775 11
8776 3
8776 11
8777 3
8777 11
8778 3
8778 11
8779 3
8779 11
8780 3
8780 11
8781 3
8781 11
8782 3
8782 11
8783 3
8783 11
8784 3
8784 11
8785 3
8785 11
8786 3
8786 11
8788 3
8788 11
8870 3
8870 11
8871 3
8871 11
8872 3
8872 11
8873 3
8873 11
8874 3
8874 11
8875 3
8875 11
8876 3
8876 11
8877 3
8877 11
8878 3
8878 11
8879 3
8879 11
8880 3
8880 11
8881 3
8881 11
8882 3
8882 11
8883 3
8883 11
8884 3
8884 11
8885 3
8885 11
8886 3
8886 11
8887 3
8887 11
8888 3
8888 11
8890 3
8890 11
8891 3
8891 11
8892 3
8892 11
8893 3
8893 11
8894 3
8894 11
8895 3
8895 11
8896 3
8896 11
8898 3
8898 11
8899 3
8899 11
8982 3
8982 11
8983 3
8983 11
8984 3
8984 11
8985 3
8985 11
8986 3
8986 11
8987 3
8987 11
8988 3
8988 11
8989 3
8989 11
8990 3
8990 11
8991 3
8991 11
8992 3
8992 11
8993 3
8993 11
8994 3
8994 11
8995 3
8995 11
8996 3
8996 11
8997 3
8997 11
8998 3
8998 11
8999 3
8999 11
9000 3
9000 11
9001 3
9001 11
9002 3
9002 11
9003 3
9003 11
9004 3
9004 11
9005 3
9005 11
9006 3
9006 11
9007 3
9007 11
9008 3
9008 11
9009 3
9009 11
9010 3
9010 11
9011 3
9011 11
9012 3
9012 11
9013 3
9013 11
9014 3
9014 11
9015 3
9015 11
9098 3
9098 11
9099 3
9099 11
9100 3
9100 11
9101 3
9101 11
9102 3
9102 11
9103 3
9103 11
9104 3
9104 11
9105 3
9105 11
9106 3
9106 11
9109 3
9109 11
9110 3
9110 11
9111 3
9111 11
9112 3
9112 11
9113 3
9113 11
9114 3
9114 11
