pt_graph freq
6825 0.25
6938 0.25
7148 0.25
7193 0.25
7360 0.25
7361 0.25
7513 0.75
7836 0.25
7907 0.25
7908 0.25
7982 0.25
8021 0.75
8055 0.25
8056 0.25
8057 0.25
8133 0.25
8214 0.25
8215 0.25
8302 0.25
8303 0.25
8304 0.25
8394 0.25
8395 0.25
8397 0.25
8489 0.25
8490 0.25
8491 0.25
8585 0.25
8586 0.25
8587 0.25
8690 0.25
8691 0.25
8692 0.25
8693 0.25
8798 0.25
8799 0.25
8800 0.25
8801 0.25
8910 0.25
8911 0.25
8912 0.25
9026 0.25
9027 0.25
9028 0.25
9029 0.25
9144 0.25
9145 0.25
9146 0.25
9264 0.25
9265 0.25
9267 0.25
9386 0.25
9387 0.25
9388 0.25
9389 0.25
9391 0.25
9511 0.25
9513 0.25
9626 0.25
9633 0.25
9634 0.25
9635 0.25
9636 0.25
9750 0.25
9751 0.25
9752 0.25
9753 0.25
9755 0.25
9871 0.25
9874 0.25
9992 0.25
9993 0.25
9998 0.25
10113 0.25
10116 0.25
10122 0.25
10246 0.25
10374 0.25
10380 0.25
10492 0.25
10500 0.25
10503 0.25
10622 0.25
10623 0.25
10625 0.25
10626 0.25
10741 0.25
10742 0.25
10744 0.25
10859 0.25
10860 0.25
10861 0.25
10862 0.25
10863 0.25
10864 0.25
10981 0.25
10982 0.25
10983 0.25
10984 0.25
10985 0.25
10991 0.25
11099 0.25
11106 0.25
11107 0.25
11108 0.25
11109 0.25
11110 0.25
11111 0.25
11112 0.25
11113 0.25
11225 0.25
11232 0.25
11233 0.25
11234 0.25
11235 0.25
11236 0.25
11237 0.25
11238 0.25
11241 0.25
11242 0.25
11363 0.25
11364 0.25
11365 0.25
11366 0.25
11367 0.25
11368 0.25
11369 0.25
11371 0.25
11373 0.25
11374 0.25
11498 0.25
11504 0.25
11505 0.25
11508 0.25
11509 0.25
11510 0.25
11514 0.25
11515 0.25
11645 0.25
11646 0.25
11647 0.25
11650 0.25
11652 0.25
11653 0.25
11654 0.25
11661 0.25
11662 0.25
11663 0.25
11787 0.25
11788 0.25
11790 0.25
11791 0.25
11792 0.25
11796 0.25
11797 0.25
11804 0.25
11805 0.25
11932 0.25
11933 0.25
11934 0.25
11935 0.25
11936 0.25
11937 0.25
11940 0.25
11944 0.25
11946 0.25
11949 0.25
12080 0.25
12082 0.25
12084 0.25
12085 0.25
12086 0.75
12087 0.25
12088 0.25
12089 0.25
12090 0.25
12091 0.25
12092 0.25
12093 0.25
12094 0.25
12098 0.25
12101 0.25
12126 0.75
12240 0.25
12241 0.25
12242 0.25
12243 0.25
12244 0.25
12245 0.25
12246 0.25
12247 0.25
12248 0.25
12249 0.25
12250 0.25
12251 0.25
12256 0.25
12257 0.25
12258 0.25
12279 0.75
12395 0.25
12403 0.25
12404 0.25
12405 0.25
12406 0.25
12407 0.25
12408 0.25
12409 0.25
12410 0.25
12411 0.25
12412 0.25
12413 0.25
12414 0.25
12419 0.25
12420 0.25
12442 0.75
12445 0.75
12566 0.25
12569 0.25
12572 0.25
12573 0.25
12574 0.25
12575 0.25
12576 0.25
12577 0.25
12578 0.25
12579 0.25
12580 0.25
12584 0.25
12586 0.25
12589 0.25
12731 0.75
12737 0.25
12740 0.25
12741 0.25
12742 0.25
12743 0.25
12744 0.25
12745 0.25
12746 0.25
12747 0.25
12748 0.25
12749 0.25
12754 0.25
12777 0.75
12908 0.25
12914 0.25
12918 0.25
12926 0.25
12927 0.25
12929 0.25
12951 0.75
13073 0.25
13077 0.25
13086 0.25
13099 0.25
13243 0.75
13271 0.25
13274 0.25
13298 0.75
13418 0.25
13447 0.25
13481 0.25
13596 0.25
13624 0.25
13649 0.75
13777 0.25
13956 0.25
13957 0.25
13989 0.25
14369 0.75
14735 0.75
15265 0.25
15444 0.25
15619 0.25
15620 0.25
16488 0.25
16808 0.25
16812 0.25
17152 0.25
17328 0.25
17679 0.25
17854 0.25
17855 0.25
18023 0.25
18024 0.25
18198 0.25
18199 0.25
18201 0.25
18372 0.25
18374 0.25
18376 0.25
18377 0.25
18381 0.25
18544 0.25
18548 0.25
18722 0.25
18724 0.25
18729 0.25
18743 0.25
18897 0.25
18918 0.25
19092 0.25
19247 0.25
19425 0.25
19428 0.25
19449 0.25
19607 0.25
19609 0.25
19626 0.25
19779 0.25
19958 0.25
19961 0.25
19964 0.25
20135 0.25
20136 0.25
20146 0.25
20305 0.25
20609 0.25
20613 0.25
20615 0.25
20746 0.25
20747 0.25
20748 0.25
20750 0.25
20751 0.25
37491 0.25
