pt_graph met
5378 11
5638 11
5639 11
5640 11
5671 11
5683 11
5684 11
5685 11
5686 11
5712 11
5715 11
5716 11
5717 11
5729 11
5730 11
5762 11
5763 11
5805 11
5830 11
5831 11
5847 11
5871 11
5886 11
5888 11
5889 11
5923 11
5925 11
5926 11
5937 11
5958 11
5962 11
5963 11
5964 11
5997 11
6001 11
6002 11
6039 11
6077 11
6152 11
6234 11
6273 11
6287 11
6353 11
6356 11
6357 11
6392 11
6396 11
6397 11
6437 11
6473 11
6477 11
6514 11
6594 11
7456 11
7571 11
7800 11
7801 11
7871 11
7872 11
7873 11
7945 11
7946 11
7947 11
7948 11
8020 11
8097 11
11230 11
11781 11
11926 11
11927 11
12123 11
12126 11
12232 11
12233 11
12238 11
12279 11
12280 11
12282 11
12390 11
12443 11
12445 11
12554 11
12555 11
12556 11
12607 11
12608 11
12610 11
12723 11
12724 11
12734 11
12778 11
12779 11
12894 11
12895 11
12896 11
12950 11
12951 11
13066 11
13067 11
13070 11
13124 11
13125 11
13239 11
13241 11
13250 11
13251 11
13298 11
13413 11
13414 11
13416 11
13417 11
13590 11
13650 11
13769 11
13830 11
13952 11
14135 11
14917 11
