pt_graph met
5289 10
5318 10
5347 10
5349 10
5350 10
5375 10
5376 11
5379 10
5405 10
5407 10
5409 10
5410 10
5433 10
5437 10
5465 10
5466 10
5468 10
5497 10
5498 10
5499 10
5500 10
5502 10
5535 10
5536 10
5537 10
5538 10
5539 10
5569 10
5617 10
5620 10
5621 10
5651 10
5659 10
5661 10
5665 10
5666 10
5671 11
5705 10
5709 10
5711 10
5752 10
5756 10
5786 10
5795 10
5800 10
5804 11
5827 10
5828 10
5831 11
5839 10
5845 11
5867 10
5868 10
5882 10
5926 11
5945 10
5946 10
5947 10
5952 11
5961 11
5962 11
5983 10
5984 10
5985 10
5994 10
6002 11
6022 10
6024 10
6025 10
6030 10
6034 10
6037 10
6058 10
6062 10
6070 10
6078 10
6096 10
6100 10
6136 10
6137 10
6167 10
6175 10
6185 10
6204 10
6205 10
6207 10
6213 10
6214 10
6216 10
6225 10
6234 11
6244 10
6250 10
6251 10
6252 10
6253 10
6255 10
6289 10
6292 10
6293 10
6294 10
6295 10
6313 11
6322 10
6323 10
6324 10
6328 10
6329 10
6330 10
6332 10
6333 10
6334 10
6335 10
6336 10
6356 11
6365 10
6370 10
6371 10
6372 10
6373 10
6374 10
6376 10
6378 10
6410 10
6411 10
6413 10
6414 10
6415 10
6416 10
6417 10
6422 10
6433 11
6434 11
6445 10
6448 10
6449 10
6450 10
6451 10
6453 10
6454 10
6455 10
6456 10
6461 10
6477 11
6490 10
6491 10
6492 10
6494 10
6495 10
6496 10
6497 10
6498 10
6524 10
6527 10
6530 10
6531 10
6533 10
6534 10
6535 10
6536 10
6537 10
6538 10
6541 10
6543 10
6544 10
6546 10
6558 10
6565 10
6566 10
6567 10
6568 10
6570 10
6572 10
6573 10
6574 10
6575 10
6576 10
6577 10
6579 10
6581 10
6582 10
6583 10
6584 10
6585 10
6594 11
6602 10
6603 10
6606 10
6607 10
6608 10
6610 10
6612 10
6613 10
6614 10
6615 10
6616 10
6617 10
6618 10
6619 10
6620 10
6621 10
6645 10
6646 10
6647 10
6648 10
6650 10
6652 10
6653 10
6654 10
6655 10
6656 10
6657 10
6658 10
6659 10
6660 10
6661 10
6667 10
6670 11
6682 10
6683 10
6685 10
6686 10
6688 10
6689 10
6692 10
6693 10
6694 10
6695 10
6696 10
6697 10
6698 10
6699 10
6700 10
6701 10
6702 10
6721 10
6722 10
6724 10
6725 10
6726 10
6727 10
6728 10
6729 10
6730 10
6731 10
6732 10
6733 10
6734 10
6735 10
6736 10
6737 10
6738 10
6739 10
6740 10
6760 10
6762 10
6764 10
6765 10
6768 10
6769 10
6770 10
6771 10
6772 10
6773 10
6774 10
6775 10
6776 10
6778 10
6779 10
6794 10
6795 10
6796 10
6797 10
6798 10
6799 10
6806 10
6807 10
6809 10
6810 10
6823 11
6832 10
6835 10
6839 10
6841 10
6843 10
6844 10
6845 10
6846 10
6848 10
6849 10
6851 10
6873 10
6878 10
6886 10
6890 10
6891 10
6892 10
6912 10
6917 10
6919 10
6920 10
6927 10
6929 10
6954 10
6955 10
6960 10
6962 10
6967 10
7001 10
7007 10
7044 10
7048 10
7051 10
7103 10
7170 10
7184 10
7185 10
7226 10
7231 10
7232 10
7303 10
7317 10
7319 10
7323 10
7340 10
7400 10
7493 10
7552 10
7553 10
7555 10
7561 10
7563 10
7619 10
7629 10
7682 10
7686 10
7692 10
7697 10
7750 10
7752 10
7754 10
7761 10
7763 10
7800 11
7825 10
7832 10
7833 10
7834 10
7898 10
7905 10
7906 10
7908 10
7945 11
7973 10
7980 10
7981 10
8022 11
8047 10
8051 10
8054 10
8055 10
8057 10
8097 11
8125 10
8132 10
8133 10
8214 10
8215 10
8220 10
8294 10
8302 10
8303 10
8308 10
8386 10
8394 10
8395 10
8396 10
8489 10
8490 10
8491 10
8579 10
8585 10
8586 10
8587 10
8690 10
8691 10
8692 10
8798 10
8799 10
8800 10
8801 10
8910 10
8911 10
8912 10
8913 10
9016 10
9025 10
9026 10
9027 10
9028 10
9138 10
9143 10
9144 10
9145 10
9146 10
9147 10
9255 10
9256 10
9265 10
9267 10
9269 10
9386 10
9387 10
9388 10
9389 10
9390 10
9511 10
9512 10
9513 10
9633 10
9634 10
9635 10
9750 10
9751 10
9752 10
9753 10
9754 10
9874 10
10121 10
10122 10
10249 10
10375 10
10500 10
10619 10
10622 10
10623 10
10740 10
10741 10
10743 10
10861 10
10862 10
10863 10
10864 10
10869 10
10981 10
10982 10
10983 10
10984 10
10985 10
10988 10
11099 10
11106 10
11107 10
11108 10
11109 10
11110 10
11111 10
11112 10
11113 10
11225 10
11230 11
11231 10
11233 10
11234 10
11235 10
11236 10
11238 10
11363 10
11364 10
11365 10
11366 10
11368 10
11369 10
11370 10
11373 10
11374 10
11379 10
11499 10
11504 10
11505 10
11507 10
11508 10
11509 10
11510 10
11645 10
11646 10
11647 10
11648 10
11650 10
11652 10
11653 10
11654 10
11655 10
11656 10
11658 10
11659 10
11660 10
11787 10
11788 10
11789 11
11790 10
11791 10
11792 10
11929 10
11930 10
11932 10
11933 10
11934 10
11935 10
11936 10
11937 10
11939 10
11940 10
11941 10
11942 10
11943 10
11949 10
12080 10
12085 10
12087 10
12088 10
12089 10
12090 10
12091 10
12092 10
12093 10
12094 10
12096 10
12097 10
12098 10
12101 10
12103 10
12233 11
12240 10
12241 10
12242 10
12243 10
12244 10
12245 10
12246 10
12247 10
12248 10
12249 10
12250 10
12253 10
12257 10
12258 10
12395 10
12404 10
12405 10
12406 10
12407 10
12408 10
12409 10
12410 10
12411 10
12412 10
12413 10
12414 10
12419 10
12421 10
12443 11
12445 11
12553 11
12558 10
12571 10
12572 10
12573 10
12574 10
12575 10
12576 10
12577 10
12578 10
12579 10
12584 10
12585 10
12586 10
12723 11
12735 10
12741 10
12742 10
12743 10
12744 10
12745 10
12746 10
12747 10
12748 10
12750 10
12753 10
12754 10
12779 11
12897 11
12911 10
12914 10
12915 10
12916 10
12918 10
12926 10
12929 10
13066 11
13074 10
13097 10
13098 10
13099 10
13101 10
13125 11
13238 11
13239 11
13420 10
13590 11
13778 10
13954 10
13955 10
13988 10
14135 11
14137 10
14139 10
14319 10
14501 11
14502 10
14539 10
14722 10
14741 11
15287 11
15445 10
15620 10
16311 10
16643 10
16983 10
17154 10
17156 10
17168 10
17675 10
17680 10
17682 10
17856 10
17868 10
18020 10
18024 10
18027 10
18197 10
18202 10
