pt_graph freq
2258 0.75
2258 0.25
2349 0.75
2349 0.25
2440 0.75
2440 0.25
2522 0.75
2522 0.25
2600 0.75
2600 0.25
2672 0.75
2672 0.25
2675 0.75
2675 0.25
2742 0.75
2742 0.25
2746 0.75
2746 0.25
2816 0.75
2816 0.25
2947 0.75
2947 0.25
3006 0.75
3006 0.25
3065 0.75
3065 0.25
3231 0.75
3231 0.25
3630 0.75
3630 0.25
3822 0.75
3822 0.25
4441 0.75
4441 0.25
4465 0.75
4465 0.25
4488 0.75
4488 0.25
4489 0.75
4489 0.25
4514 0.75
4514 0.25
4541 0.75
4541 0.25
4542 0.75
4542 0.25
4570 0.75
4570 0.25
4572 0.75
4572 0.25
4600 0.75
4600 0.25
4601 0.75
4601 0.25
4631 0.75
4631 0.25
4632 0.75
4632 0.25
4633 0.75
4633 0.25
4662 0.75
4662 0.25
4665 0.75
4665 0.25
4666 0.75
4666 0.25
4678 0.75
4678 0.25
4693 0.75
4693 0.25
4698 0.75
4698 0.25
4727 0.75
4727 0.25
4757 0.75
4757 0.25
4758 0.75
4758 0.25
4768 0.75
4768 0.25
4789 0.75
4789 0.25
4804 0.75
4804 0.25
4805 0.75
4805 0.25
4806 0.75
4806 0.25
4826 0.75
4826 0.25
4827 0.75
4827 0.25
4841 0.75
4841 0.25
4842 0.75
4842 0.25
4843 0.75
4843 0.25
4864 0.75
4864 0.25
4884 0.75
4884 0.25
4886 0.75
4886 0.25
4928 0.75
4928 0.25
4930 0.75
4930 0.25
4955 0.75
4955 0.25
4973 0.75
4973 0.25
4974 0.75
4974 0.25
4975 0.75
4975 0.25
4976 0.75
4976 0.25
4996 0.75
4996 0.25
5020 0.75
5020 0.25
5042 0.75
5042 0.25
5046 0.75
5046 0.25
5084 0.75
5084 0.25
5085 0.75
5085 0.25
5090 0.75
5090 0.25
5091 0.75
5091 0.25
5116 0.75
5116 0.25
5133 0.75
5133 0.25
5136 0.75
5136 0.25
5172 0.75
5172 0.25
5173 0.75
5173 0.25
5174 0.75
5174 0.25
5176 0.75
5176 0.25
5195 0.75
5195 0.25
5198 0.75
5198 0.25
5210 0.75
5210 0.25
5215 0.75
5215 0.25
5246 0.75
5246 0.25
5275 0.75
5275 0.25
5276 0.75
5276 0.25
5286 0.75
5286 0.25
5309 0.75
5309 0.25
5314 0.75
5314 0.25
5321 0.75
5321 0.25
5352 0.75
5352 0.25
5353 0.75
5353 0.25
5366 0.75
5366 0.25
5367 0.75
5367 0.25
5390 0.75
5390 0.25
5427 0.75
5427 0.25
5442 0.75
5442 0.25
5456 0.75
5456 0.25
5465 0.75
5465 0.25
5503 0.75
5503 0.25
5504 0.75
5504 0.25
5505 0.75
5505 0.25
5534 0.75
5534 0.25
5541 0.75
5541 0.25
5542 0.75
5542 0.25
5543 0.75
5543 0.25
5544 0.75
5544 0.25
5545 0.75
5545 0.25
5580 0.75
5580 0.25
5582 0.75
5582 0.25
5583 0.75
5583 0.25
5584 0.75
5584 0.25
5620 0.75
5620 0.25
5622 0.75
5622 0.25
5623 0.75
5623 0.25
5624 0.75
5624 0.25
5626 0.75
5626 0.25
5660 0.75
5660 0.25
5661 0.75
5661 0.25
5662 0.75
5662 0.25
5663 0.75
5663 0.25
5664 0.75
5664 0.25
5683 0.75
5683 0.25
5692 0.75
5692 0.25
5701 0.75
5701 0.25
5703 0.75
5703 0.25
5704 0.75
5704 0.25
5705 0.75
5705 0.25
5706 0.75
