pt_graph shape
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
37501 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5589 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5726 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5681 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5727 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5636 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5513 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5550 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5593 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5728 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5446 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5477 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5514 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5551 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5594 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5729 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5515 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5552 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5595 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5639 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5684 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5855 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5935 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
5972 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
37438 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5479 1
5516 1
