pt_graph met
5372 10
5376 10
5403 10
5404 10
5406 10
5407 10
5408 10
5434 10
5436 10
5438 10
5439 10
5464 10
5465 10
5466 10
5467 10
5469 10
5470 10
5478 10
5480 10
5496 10
5497 10
5498 10
5499 10
5500 10
5503 10
5514 10
5515 10
5516 10
5536 10
5537 10
5548 6
5549 6
5550 10
5551 10
5552 10
5553 10
5554 10
5564 10
5572 10
5574 10
5576 10
5577 10
5579 10
5589 6
5591 6
5593 10
5594 10
5595 10
5596 10
5597 10
5598 10
5617 10
5621 10
5633 6
5639 10
5640 10
5650 10
5651 10
5659 10
5661 10
5665 10
5670 10
5674 6
5683 10
5684 10
5685 10
5686 10
5696 10
5706 10
5711 10
5712 10
5716 10
5724 6
5729 10
5730 10
5752 10
5757 10
5762 10
5775 6
5783 10
5784 10
5786 10
5794 10
5795 10
5796 10
5799 10
5800 10
5801 10
5811 6
5813 6
5816 6
5819 10
5820 10
5826 10
5827 10
5836 10
5838 10
5841 6
5842 10
5843 10
5844 10
5851 6
5860 10
5865 10
5866 10
5867 10
5868 10
5873 6
5875 6
5876 10
5881 10
5882 10
5883 10
5884 10
5885 10
5886 10
5906 10
5908 10
5911 10
5920 10
5921 10
5922 10
5923 10
5924 10
5925 10
5929 6
5945 10
5946 10
5947 10
5948 10
5957 10
5958 10
5959 10
5961 10
5971 6
5972 6
5974 10
5982 10
5984 10
5985 10
5986 10
5987 10
5993 10
5995 10
5996 10
5998 10
6001 10
6013 6
6022 10
6023 10
6024 10
6025 10
6028 6
6032 10
6034 10
6037 10
6039 10
6043 6
6044 6
6046 6
6050 6
6059 10
6061 10
6062 10
6070 10
6072 10
6075 10
6076 10
6081 6
6098 10
6099 10
6100 10
6113 10
6117 10
6121 6
6125 10
6136 10
6137 10
6152 10
6162 6
6166 10
6171 10
6173 10
6174 10
6175 10
6181 6
6187 10
6190 10
6199 6
6203 10
6204 10
6207 10
6210 10
6213 10
6214 10
6225 10
6228 10
6239 6
6243 10
6244 10
6250 10
6251 10
6252 10
6253 10
6254 10
6255 10
6256 10
6261 6
6271 10
6281 6
6282 10
6285 10
6289 10
6291 10
6292 10
6293 10
6294 10
6295 10
6299 10
6312 10
6313 10
6317 6
6318 6
6320 6
6323 10
6330 10
6331 10
6332 10
6333 10
6334 10
6336 10
6360 6
6361 6
6364 10
6365 10
6369 10
6370 10
6371 10
6372 10
6373 10
6374 10
6376 10
6380 10
6387 10
6389 10
6390 10
6392 10
6396 10
6400 6
6402 10
6404 6
6405 10
6407 10
6409 10
6410 10
6411 10
6413 10
6414 10
6415 10
6416 10
6422 10
6427 10
6431 10
6439 6
6446 10
6448 10
6449 10
6450 10
6451 10
6453 10
6454 10
6455 10
6456 10
6480 6
6490 10
6491 10
6492 10
6494 10
6495 10
6496 10
6497 10
6498 10
6501 10
6508 10
6530 10
6531 10
6534 10
6535 10
6536 10
6537 10
6538 10
6539 10
6540 10
6544 10
6547 10
6560 6
6566 10
6567 10
6568 10
6569 10
6571 10
6573 10
6574 10
6575 10
6576 10
6577 10
6578 10
6579 10
6581 10
6582 10
6583 10
6584 10
6585 10
6599 6
6605 10
6606 10
6607 10
6608 10
6609 10
6610 10
6611 10
6612 10
6613 10
6614 10
6615 10
6616 10
6617 10
6618 10
6620 10
6621 10
6622 10
6636 6
6640 10
6641 10
6643 10
6644 10
6645 10
6646 10
6648 10
6652 10
6653 10
6654 10
6655 10
6657 10
6658 10
6659 10
6660 10
6661 10
6662 10
6678 6
6679 6
6680 6
6682 10
6684 10
6685 10
6687 10
6688 10
6692 10
6693 10
6694 10
6695 10
6696 10
6697 10
6699 10
6700 10
6701 10
6709 10
6721 10
6722 10
6723 10
6724 10
6725 10
6726 10
6727 10
6728 10
6729 10
6730 10
6731 10
6732 10
6733 10
6734 10
6735 10
6736 10
6737 10
6738 10
6739 10
6740 10
6741 10
6755 6
6757 10
6758 10
6759 10
6760 10
6762 10
6764 10
6765 10
6768 10
6769 10
6770 10
6771 10
6772 10
6773 10
6774 10
6776 10
6788 6
6792 6
6794 10
6795 10
6796 10
6797 10
6798 10
6799 10
6802 10
6805 10
6807 10
6809 10
6811 10
6812 10
6813 10
6814 10
6828 6
6832 10
6833 10
6834 10
6835 10
6837 10
6840 10
6842 10
6843 10
6844 10
6845 10
6846 10
6847 10
6848 10
6850 10
6857 10
