pt_graph met
10183 5
10184 5
10307 5
10308 5
10309 5
10436 5
10562 5
10563 5
10695 5
10835 5
10836 5
10980 5
11121 5
11421 5
11422 5
11423 5
11424 5
11577 5
11578 5
11579 5
11580 5
11581 5
11582 5
11583 5
11740 5
11741 5
11742 5
11743 5
11744 5
11745 5
11905 5
11906 5
11907 5
11908 5
11909 5
11910 5
11911 5
12074 5
12075 5
12076 5
12077 5
12078 5
12079 5
12081 5
12246 5
12247 5
12248 5
12249 5
12250 5
12251 5
12252 5
12253 5
12418 5
12419 5
12420 5
12421 5
12422 5
12423 5
12424 5
12425 5
12426 5
12591 5
12592 5
12593 5
12594 5
12595 5
12596 5
12597 5
12766 5
12767 5
12768 5
12769 5
12770 5
12771 5
12772 5
12773 5
12943 5
12944 5
12945 5
12946 5
12947 5
12948 5
13123 5
13124 5
13125 5
13126 5
28315 5
28316 5
