pt_graph met
6945 3
6984 3
6985 3
6986 3
6987 3
7025 3
7026 3
7027 3
7028 3
7029 3
7030 3
7067 3
7068 3
7069 3
7070 3
7071 3
7072 3
7073 3
7074 3
7110 3
7111 3
7112 3
7113 3
7114 3
7115 3
7116 3
7117 3
7118 3
7154 3
7155 3
7156 3
7157 3
7158 3
7159 3
7160 3
7161 3
7162 3
7163 3
7200 3
7201 3
7202 3
7203 3
7204 3
7205 3
7206 3
7207 3
7208 3
7209 3
7245 3
7246 3
7247 3
7248 3
7249 3
7250 3
7251 3
7252 3
7288 3
7289 3
7330 3
7331 3
7332 3
7370 3
7371 3
7372 3
7373 3
7417 3
7418 3
7419 3
7420 3
7421 3
7422 3
7467 3
7468 3
7469 3
7470 3
7471 3
7472 3
7473 3
7474 3
7522 3
7523 3
7524 3
7525 3
7526 3
7527 3
7528 3
7529 3
7581 3
7582 3
7583 3
7584 3
7585 3
7586 3
7587 3
7588 3
7646 3
7647 3
7648 3
7649 3
7650 3
7651 3
7652 3
7712 3
7713 3
7714 3
7715 3
7716 3
7783 3
7784 3
37696 3
