pt_graph freq
1028 0.75
1028 0.25
1480 0.75
1480 0.25
1485 0.75
1485 0.25
1533 0.75
1533 0.25
1584 0.75
1584 0.25
1624 0.75
1624 0.25
1625 0.75
1625 0.25
1628 0.75
1628 0.25
1629 0.75
1629 0.25
1630 0.75
1630 0.25
1677 0.75
1677 0.25
1734 0.75
1734 0.25
1736 0.75
1736 0.25
1792 0.75
1792 0.25
1860 0.75
1860 0.25
1862 0.75
1862 0.25
1929 0.75
1929 0.25
1931 0.75
1931 0.25
2006 0.75
2006 0.25
2008 0.75
2008 0.25
2169 0.75
2169 0.25
2257 0.75
2257 0.25
2258 0.75
2258 0.25
2259 0.75
2259 0.25
2337 0.75
2337 0.25
2339 0.75
2339 0.25
2509 0.75
2509 0.25
2539 0.75
2539 0.25
2615 0.75
2615 0.25
2630 0.75
2630 0.25
2707 0.75
2707 0.25
2779 0.75
2779 0.25
2800 0.75
2800 0.25
2801 0.75
2801 0.25
2876 0.75
2876 0.25
2877 0.75
2877 0.25
2894 0.75
2894 0.25
2896 0.75
2896 0.25
2968 0.75
2968 0.25
2983 0.75
2983 0.25
3059 0.75
3059 0.25
3150 0.75
3150 0.25
3232 0.75
3232 0.25
3382 0.75
3382 0.25
3383 0.75
3383 0.25
3384 0.75
3384 0.25
3385 0.75
3385 0.25
3426 0.75
3426 0.25
3427 0.75
3427 0.25
3452 0.75
3452 0.25
3496 0.75
3496 0.25
3497 0.75
3497 0.25
3498 0.75
3498 0.25
3526 0.75
3526 0.25
3529 0.75
3529 0.25
3567 0.75
3567 0.25
3568 0.75
3568 0.25
3569 0.75
3569 0.25
3593 0.75
3593 0.25
3599 0.75
3599 0.25
3633 0.75
3633 0.25
3634 0.75
3634 0.25
3635 0.75
3635 0.25
3657 0.75
3657 0.25
3683 0.75
3683 0.25
3684 0.75
3684 0.25
3695 0.75
3695 0.25
3697 0.75
3697 0.25
3698 0.75
3698 0.25
3716 0.75
3716 0.25
3744 0.75
3744 0.25
3753 0.75
3753 0.25
3757 0.75
3757 0.25
3775 0.75
3775 0.25
3805 0.75
3805 0.25
3812 0.75
3812 0.25
3816 0.75
3816 0.25
3856 0.75
3856 0.25
3857 0.75
3857 0.25
3865 0.75
3865 0.25
3866 0.75
3866 0.25
3867 0.75
3867 0.25
3870 0.75
3870 0.25
3871 0.75
3871 0.25
3885 0.75
3885 0.25
3915 0.75
3915 0.25
3919 0.75
3919 0.25
3922 0.75
3922 0.25
3923 0.75
3923 0.25
3924 0.75
3924 0.25
3941 0.75
3941 0.25
3967 0.75
3967 0.25
3968 0.75
3968 0.25
3972 0.75
3972 0.25
3974 0.75
3974 0.25
3975 0.75
3975 0.25
3976 0.75
3976 0.25
3977 0.75
3977 0.25
3978 0.75
3978 0.25
4024 0.75
4024 0.25
4028 0.75
4028 0.25
4029 0.75
4029 0.25
4033 0.75
4033 0.25
4037 0.75
4037 0.25
4038 0.75
4038 0.25
4039 0.75
4039 0.25
4076 0.75
4076 0.25
4077 0.75
4077 0.25
4078 0.75
4078 0.25
4084 0.75
4084 0.25
4085 0.75
4085 0.25
4088 0.75
4088 0.25
4089 0.75
4089 0.25
4090 0.75
4090 0.25
4091 0.75
4091 0.25
4121 0.75
4121 0.25
4126 0.75
4126 0.25
4127 0.75
4127 0.25
4133 0.75
4133 0.25
4134 0.75
4134 0.25
4135 0.75
4135 0.25
4136 0.75
4136 0.25
4162 0.75
4162 0.25
4171 0.75
4171 0.25
4172 0.75
4172 0.25
4176 0.75
4176 0.25
4177 0.75
4177 0.25
4198 0.75
4198 0.25
4206 0.75
4206 0.25
4208 0.75
4208 0.25
4209 0.75
4209 0.25
4210 0.75
4210 0.25
4212 0.75
4212 0.25
4213 0.75
4213 0.25
4214 0.75
4214 0.25
4244 0.75
4244 0.25
4246 0.75
4246 0.25
4247 0.75
4247 0.25
4248 0.75
4248 0.25
4249 0.75
4249 0.25
4250 0.75
4250 0.25
4251 0.75
4251 0.25
4252 0.75
4252 0.25
4287 0.75
4287 0.25
4288 0.75
4288 0.25
4289 0.75
4289 0.25
4290 0.75
4290 0.25
4291 0.75
4291 0.25
4292 0.75
4292 0.25
4294 0.75
4294 0.25
4295 0.75
4295 0.25
4327 0.75
4327 0.25
4328 0.75
4328 0.25
4329 0.75
4329 0.25
4330 0.75
4330 0.25
4332 0.75
4332 0.25
4333 0.75
4333 0.25
4335 0.75
4335 0.25
4369 0.75
4369 0.25
4370 0.75
4370 0.25
4371 0.75
4371 0.25
4372 0.75
4372 0.25
4373 0.75
4373 0.25
4374 0.75
4374 0.25
4375 0.75
4375 0.25
4376 0.75
4376 0.25
4410 0.75
4410 0.25
4411 0.75
4411 0.25
4412 0.75
4412 0.25
4413 0.75
4413 0.25
4414 0.75
4414 0.25
4450 0.75
4450 0.25
4563 0.75
4563 0.25
4878 0.75
4878 0.25
4925 0.75
4925 0.25
4947 0.75
4947 0.25
4968 0.75
4968 0.25
4986 0.75
4986 0.25
5003 0.75
5003 0.25
5087 0.75
5087 0.25
5105 0.75
5105 0.25
5106 0.75
5106 0.25
5174 0.75
5174 0.25
5198 0.75
5198 0.25
5223 0.75
5223 0.25
5224 0.75
5224 0.25
5251 0.75
5251 0.25
5262 0.75
5262 0.25
5279 0.75
5279 0.25
5281 0.75
5281 0.25
5311 0.75
5311 0.25
5317 0.75
5317 0.25
5341 0.75
5341 0.25
5342 0.75
5342 0.25
5343 0.75
5343 0.25
5372 0.75
5372 0.25
5404 0.75
5404 0.25
5435 0.75
5435 0.25
5436 0.75
5436 0.25
5466 0.75
5466 0.25
5469 0.75
5469 0.25
5478 0.75
5478 0.25
5498 0.75
5498 0.25
5499 0.75
5499 0.25
5503 0.75
5503 0.25
5514 0.75
5514 0.25
5515 0.75
5515 0.25
5516 0.75
5516 0.25
5535 0.75
5535 0.25
5536 0.75
5536 0.25
5550 0.75
5550 0.25
5551 0.75
5551 0.25
5552 0.75
5552 0.25
5553 0.75
5553 0.25
5554 0.75
5554 0.25
5573 0.75
5573 0.25
5574 0.75
5574 0.25
5577 0.75
5577 0.25
5593 0.75
5593 0.25
5594 0.75
5594 0.25
5596 0.75
5596 0.25
5617 0.75
5617 0.25
5620 0.75
5620 0.25
5640 0.75
5640 0.25
5683 0.75
5683 0.25
5684 0.75
5684 0.25
5685 0.75
5685 0.25
5686 0.75
5686 0.25
5704 0.75
5704 0.25
5706 0.75
5706 0.25
5711 0.75
5711 0.25
5730 0.75
5730 0.25
5752 0.75
5752 0.25
5756 0.75
5756 0.25
5794 0.75
5794 0.25
5795 0.75
5795 0.25
5826 0.75
5826 0.25
5827 0.75
5827 0.25
5837 0.75
5837 0.25
5866 0.75
5866 0.25
5867 0.75
5867 0.25
