pt_graph met
1105 10
1105 14
1108 10
1108 14
1234 10
1234 14
1358 10
1358 14
1435 10
1435 14
1480 10
1480 14
1485 10
1485 14
1529 10
1529 14
1530 10
1530 14
1533 10
1533 14
1535 10
1535 14
1536 10
1536 14
1537 10
1537 14
1579 10
1579 14
1581 10
1581 14
1584 10
1584 14
1585 10
1585 14
1625 10
1625 14
1628 10
1628 14
1630 10
1630 14
1677 10
1677 14
1732 10
1732 14
1733 10
1733 14
1734 10
1734 14
1737 10
1737 14
1792 10
1792 14
1793 10
1793 14
1860 10
1860 14
1862 10
1862 14
1928 10
1928 14
1929 10
1929 14
1931 10
1931 14
2001 10
2001 14
2006 10
2006 14
2088 10
2088 14
2172 10
2172 14
2257 10
2257 14
2258 10
2258 14
2259 10
2259 14
2335 10
2335 14
2337 10
2337 14
2339 10
2339 14
2509 10
2509 14
2539 10
2539 14
2614 10
2614 14
2615 10
2615 14
2630 10
2630 14
2706 10
2706 14
2707 10
2707 14
2725 10
2725 14
2800 10
2800 14
2801 10
2801 14
2816 10
2816 14
2890 10
2890 14
2892 10
2892 14
2894 10
2894 14
2896 10
2896 14
2907 10
2907 14
2966 10
2966 14
2968 10
2968 14
2982 10
2982 14
2983 10
2983 14
3000 10
3000 14
3005 10
3005 14
3059 10
3059 14
3149 10
3149 14
3150 10
3150 14
3231 10
3231 14
3232 10
3232 14
3261 10
3261 14
3311 10
3311 14
3312 10
3312 14
3382 10
3382 14
3383 10
3383 14
3412 10
3412 14
3451 10
3451 14
3452 10
3452 14
3453 10
3453 14
3454 10
3454 14
3455 10
3455 14
3526 10
3526 14
3527 10
3527 14
3529 10
3529 14
3531 10
3531 14
3592 10
3592 14
3593 10
3593 14
3594 10
3594 14
3617 10
3617 14
3619 10
3619 14
3620 10
3620 14
3657 10
3657 14
3684 10
3684 14
3716 10
3716 14
3717 10
3717 14
3743 10
3743 14
3744 10
3744 14
3775 10
3775 14
3802 10
3802 14
3803 10
3803 14
3804 10
3804 14
3854 10
3854 14
3857 10
3857 14
3858 10
3858 14
3859 10
3859 14
3865 10
3865 14
3866 10
3866 14
3915 10
3915 14
3918 10
3918 14
3919 10
3919 14
3922 10
3922 14
3941 10
3941 14
3944 10
3944 14
3967 10
3967 14
3974 10
3974 14
3975 10
3975 14
3976 10
3976 14
4000 10
4000 14
4025 10
4025 14
4027 10
4027 14
4029 10
4029 14
4030 10
4030 14
4032 10
4032 14
4033 10
4033 14
4037 10
4037 14
4074 10
4074 14
4075 10
4075 14
4076 10
4076 14
4077 10
4077 14
4078 10
4078 14
4082 10
4082 14
4083 10
4083 14
4084 10
4084 14
4088 10
4088 14
4117 10
4117 14
4119 10
4119 14
4133 10
4133 14
4162 10
4162 14
4163 10
4163 14
4169 10
4169 14
4171 10
4171 14
4172 10
4172 14
4176 10
4176 14
4206 10
4206 14
4208 10
4208 14
4209 10
4209 14
4210 10
4210 14
4212 10
4212 14
4213 10
4213 14
4244 10
4244 14
4246 10
4246 14
4247 10
4247 14
4248 10
4248 14
4249 10
4249 14
4250 10
4250 14
4251 10
4251 14
4252 10
4252 14
4279 10
4279 14
4281 10
4281 14
4286 10
4286 14
4287 10
4287 14
4288 10
4288 14
4289 10
4289 14
4290 10
4290 14
4291 10
4291 14
4292 10
4292 14
4294 10
4294 14
4295 10
4295 14
4327 10
4327 14
4328 10
4328 14
4329 10
4329 14
4330 10
4330 14
4331 10
4331 14
4332 10
4332 14
4333 10
4333 14
4335 10
4335 14
4368 10
4368 14
4369 10
4369 14
4370 10
4370 14
4371 10
4371 14
4372 10
4372 14
4373 10
4373 14
4374 10
4374 14
4375 10
4375 14
4376 10
4376 14
4378 10
4378 14
4383 10
4383 14
4410 10
4410 14
4411 10
4411 14
4412 10
4412 14
4413 10
4413 14
4414 10
4414 14
4416 10
4416 14
4449 10
4449 14
4450 10
4450 14
4451 10
4451 14
4452 10
4452 14
4487 10
4487 14
4505 10
4505 14
4540 10
4540 14
4602 10
4602 14
4609 10
4609 14
4649 10
4649 14
4766 10
4766 14
4769 10
4769 14
4770 10
4770 14
4776 10
4776 14
4839 10
4839 14
4843 10
4843 14
4875 10
4875 14
4884 10
4884 14
4898 10
4898 14
4903 10
4903 14
4905 10
4905 14
4919 10
4919 14
4943 10
4943 14
4946 10
4946 14
4964 10
4964 14
4968 10
4968 14
4986 10
4986 14
4987 10
4987 14
4994 10
4994 14
5066 10
5066 14
5090 10
5090 14
5105 10
5105 14
5114 10
5114 14
5150 10
5150 14
5177 10
5177 14
5198 10
5198 14
5200 10
5200 14
5208 10
5208 14
5209 10
5209 14
5224 10
5224 14
5228 10
5228 14
5250 10
5250 14
5251 10
5251 14
5252 10
5252 14
5256 10
5256 14
5272 10
5272 14
5280 10
5280 14
5281 10
5281 14
5282 10
5282 14
5289 10
5289 14
5305 10
5305 14
5309 10
5309 14
5311 10
5311 14
5313 10
5313 14
5318 10
5318 14
5335 10
5335 14
5341 10
5341 14
5342 10
5342 14
5343 10
5343 14
5346 10
5346 14
5371 10
5371 14
5372 10
5372 14
5373 10
5373 14
5374 10
5374 14
5375 10
5375 14
5378 10
5378 14
5380 10
5380 14
5403 10
5403 14
5405 10
5405 14
5436 10
5436 14
5438 10
5438 14
5439 10
5439 14
5466 10
5466 14
5468 10
5468 14
5469 10
5469 14
5470 10
5470 14
5478 10
5478 14
5479 10
5479 14
5498 10
5498 14
5499 10
5499 14
5500 10
5500 14
5503 10
5503 14
5514 10
5514 14
5515 10
5515 14
5516 10
5516 14
5536 10
