pt_graph scale
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 23
5076 23
5076 23
5076 23
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 0
5076 330.82191772
5076 536.66666659
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 23
5266 23
5266 23
5266 23
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 0
5266 330.82191772
5266 536.66666659
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 23
5295 23
5295 23
5295 23
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 0
5295 330.82191772
5295 536.66666659
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 23
5327 23
5327 23
5327 23
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 0
5327 330.82191772
5327 536.66666659
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 23
5058 23
5058 23
5058 23
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 0
5058 330.82191772
5058 536.66666659
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 23
5077 23
5077 23
5077 23
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 330.82191772
5077 536.66666659
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 23
5099 23
5099 23
5099 23
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 330.82191772
5099 536.66666659
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 23
5119 23
5119 23
5119 23
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 330.82191772
5119 536.66666659
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 23
5140 23
5140 23
5140 23
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 0
5140 330.82191772
5140 536.66666659
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 23
5162 23
5162 23
5162 23
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 0
5162 330.82191772
5162 536.66666659
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 23
5186 23
5186 23
5186 23
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 0
5186 330.82191772
5186 536.66666659
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 23
5211 23
5211 23
5211 23
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 0
5211 330.82191772
5211 536.66666659
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 23
5238 23
5238 23
5238 23
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 0
5238 330.82191772
5238 536.66666659
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 23
5267 23
5267 23
5267 23
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 0
5267 330.82191772
5267 536.66666659
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 23
5296 23
5296 23
5296 23
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 0
5296 330.82191772
5296 536.66666659
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 23
5328 23
5328 23
5328 23
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 0
5328 330.82191772
5328 536.66666659
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 23
5358 23
5358 23
5358 23
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 0
5358 330.82191772
5358 536.66666659
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 23
5388 23
5388 23
5388 23
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 0
5388 330.82191772
5388 536.66666659
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 23
5026 23
5026 23
5026 23
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 330.82191772
5026 536.66666659
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 23
5042 23
5042 23
5042 23
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
