pt_graph cpue_kghour
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 13
5077 13
5077 13
5077 13
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 0
5077 13
5077 303.333333333333
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 13
5099 13
5099 13
5099 13
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 0
5099 13
5099 303.333333333333
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 13
5119 13
5119 13
5119 13
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 0
5119 13
5119 303.333333333333
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 13
5026 13
5026 13
5026 13
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 0
5026 13
5026 303.333333333333
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 13
5042 13
5042 13
5042 13
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 0
5042 13
5042 303.333333333333
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 13
5059 13
5059 13
5059 13
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 0
5059 13
5059 303.333333333333
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 13
5078 13
5078 13
5078 13
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 0
5078 13
5078 303.333333333333
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 13
5100 13
5100 13
5100 13
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 0
5100 13
5100 303.333333333333
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 13
5120 13
5120 13
5120 13
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 0
5120 13
5120 303.333333333333
5141 0
5141 0
5141 0
5141 0
5141 0
5141 0
5141 0
5141 13
5141 13
5141 13
5141 13
5141 0
5141 0
5141 0
5141 0
5141 0
5141 0
5141 0
5141 0
5141 0
5141 0
5141 0
5141 0
5141 0
