pt_graph scale
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 5
36893 5
36893 5
36893 5
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 0
36893 116.666666666667
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 5
5322 5
5322 5
5322 5
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 0
5322 116.666666666667
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 5
5353 5
5353 5
5353 5
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 0
5353 116.666666666667
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 5
5383 5
5383 5
5383 5
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 0
5383 116.666666666667
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 5
5413 5
5413 5
5413 5
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 0
5413 116.666666666667
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 5
5443 5
5443 5
5443 5
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 0
5443 116.666666666667
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 5
5474 5
5474 5
5474 5
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 0
5474 116.666666666667
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 5
5509 5
5509 5
5509 5
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 0
5509 116.666666666667
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 5
36873 5
36873 5
36873 5
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 0
36873 116.666666666667
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 5
5264 5
5264 5
5264 5
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 0
5264 116.666666666667
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 5
5293 5
5293 5
5293 5
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 0
5293 116.666666666667
5323 0
5323 0
5323 0
5323 0
5323 0
5323 0
5323 0
5323 5
5323 5
5323 5
5323 5
5323 0
5323 0
5323 0
5323 0
5323 0
5323 0
5323 0
5323 0
5323 0
5323 0
5323 0
5323 0
5323 0
5323 0
5323 0
