pt_graph scale
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 17
4339 17
4339 17
4339 17
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 0
4339 396.666666666666
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 17
4380 17
4380 17
4380 17
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 0
4380 396.666666666666
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 17
4340 17
4340 17
4340 17
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 0
4340 396.666666666666
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 17
4381 17
4381 17
4381 17
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 0
4381 396.666666666666
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 17
4419 17
4419 17
4419 17
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 0
4419 396.666666666666
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 17
4382 17
4382 17
4382 17
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 0
4382 396.666666666666
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 17
4420 17
4420 17
4420 17
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 0
4420 396.666666666666
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 17
4458 17
4458 17
4458 17
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 0
4458 396.666666666666
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 17
4569 17
4569 17
4569 17
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 0
4569 396.666666666666
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 17
4607 17
4607 17
4607 17
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 0
4607 396.666666666666
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 17
36841 17
36841 17
36841 17
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 0
36841 396.666666666666
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 17
36850 17
36850 17
36850 17
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 0
36850 396.666666666666
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 17
4494 17
4494 17
4494 17
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 0
4494 396.666666666666
