pt_graph scale
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 3
4955 3
4955 3
4955 3
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 0
4955 69.9999999999999
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 3
4977 3
4977 3
4977 3
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 0
4977 69.9999999999999
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 3
37468 3
37468 3
37468 3
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 0
37468 69.9999999999999
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 3
4957 3
4957 3
4957 3
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 0
4957 69.9999999999999
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 3
4995 3
4995 3
4995 3
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 0
4995 69.9999999999999
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 3
36898 3
36898 3
36898 3
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 0
36898 69.9999999999999
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 3
4936 3
4936 3
4936 3
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 0
4936 69.9999999999999
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 3
4958 3
4958 3
4958 3
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 0
4958 69.9999999999999
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 3
36844 3
36844 3
36844 3
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 0
36844 69.9999999999999
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 3
36845 3
36845 3
36845 3
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 0
36845 69.9999999999999
