pt_graph met
225 12
309 12
385 12
429 12
458 12
476 12
481 12
505 12
506 12
531 12
556 12
582 12
807 12
1501 12
1547 12
1596 12
2294 12
2376 12
2470 12
3230 12
3309 12
3363 12
5191 12
5192 12
5193 12
5215 12
5216 12
5242 12
5361 12
5478 12
5479 12
5514 12
5515 12
5516 12
5550 12
5551 12
5552 12
5553 12
5594 12
5595 12
5596 12
5638 12
5639 12
5640 12
5671 12
5672 12
5683 12
5684 12
5685 12
5716 12
5729 12
5730 12
5761 12
5762 12
5804 12
5805 12
5831 12
5847 12
5885 12
5888 12
5889 12
5923 12
5925 12
5926 12
5963 12
6001 12
6002 12
6038 12
6039 12
6272 12
6273 12
6287 12
6313 12
6316 12
6353 12
6356 12
6396 12
6397 12
6433 12
6437 12
6477 12
6514 12
6518 12
7800 12
7871 12
7872 12
7873 12
7945 12
7946 12
7947 12
8019 12
8020 12
8021 12
8022 12
8097 12
8175 12
35775 12
36022 12
36292 12
36331 12
36349 12
36411 12
36413 12
36425 12
36449 12
36485 12
36487 12
36523 12
36525 12
36998 12
37141 12
