pt_graph shape
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
36991 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3666 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3726 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3784 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3894 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3727 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3785 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
3840 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
4109 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3786 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3841 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3896 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
3950 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
4064 1
