pt_graph met
12279 10
12279 14
12779 10
12779 14
13298 10
13298 14
14172 10
14172 14
14538 10
14538 14
14723 10
14723 14
14905 10
14905 14
15085 10
15085 14
15086 10
15086 14
16484 10
16484 14
17155 10
17155 14
17156 10
17156 14
17328 10
17328 14
17504 10
17504 14
17678 10
17678 14
17679 10
17679 14
17680 10
17680 14
17854 10
17854 14
17855 10
17855 14
17857 10
17857 14
18025 10
18025 14
18027 10
18027 14
18028 10
18028 14
18198 10
18198 14
18202 10
18202 14
18377 10
18377 14
18548 10
18548 14
18550 10
18550 14
18551 10
18551 14
18552 10
18552 14
18566 10
18566 14
18726 10
18726 14
18727 10
18727 14
18743 10
18743 14
18917 10
18917 14
18918 10
18918 14
19093 10
19093 14
19449 10
19449 14
19626 10
19626 14
19964 10
19964 14
20135 10
20135 14
20136 10
20136 14
20146 10
20146 14
20305 10
20305 14
20465 10
20465 14
20746 10
20746 14
20747 10
20747 14
20748 10
20748 14
20749 10
20749 14
20750 10
20750 14
20751 10
20751 14
20883 10
20883 14
21009 10
21009 14
