pt_graph freq
8538 0.25
8538 0.75
9122 0.25
9122 0.75
9239 0.25
9239 0.75
9240 0.25
9240 0.75
9615 0.25
9615 0.75
9740 0.25
9740 0.75
10530 0.25
10530 0.75
10661 0.25
10661 0.75
10662 0.25
10662 0.75
10663 0.25
10663 0.75
10664 0.25
10664 0.75
10801 0.25
10801 0.75
10946 0.25
10946 0.75
11085 0.25
11085 0.75
11086 0.25
11086 0.75
11230 0.25
11230 0.75
11231 0.25
11231 0.75
11232 0.25
11232 0.75
11234 0.25
11234 0.75
11237 0.25
11237 0.75
11314 0.25
11314 0.75
11383 0.25
11383 0.75
11384 0.25
11384 0.75
11386 0.25
11386 0.75
11387 0.25
11387 0.75
11391 0.25
11391 0.75
11392 0.25
11392 0.75
11538 0.25
11538 0.75
11539 0.25
11539 0.75
11540 0.25
11540 0.75
11541 0.25
11541 0.75
11542 0.25
11542 0.75
11545 0.25
11545 0.75
11547 0.25
11547 0.75
11548 0.25
11548 0.75
11549 0.25
11549 0.75
11700 0.25
11700 0.75
11701 0.25
11701 0.75
11702 0.25
11702 0.75
11703 0.25
11703 0.75
11704 0.25
11704 0.75
11705 0.25
11705 0.75
11706 0.25
11706 0.75
11710 0.25
11710 0.75
11711 0.25
11711 0.75
11735 0.25
11735 0.75
11864 0.25
11864 0.75
11865 0.25
11865 0.75
11866 0.25
11866 0.75
11867 0.25
11867 0.75
11868 0.25
11868 0.75
11869 0.25
11869 0.75
11870 0.25
11870 0.75
11874 0.25
11874 0.75
11875 0.25
11875 0.75
11876 0.25
11876 0.75
12033 0.25
12033 0.75
12034 0.25
12034 0.75
12035 0.25
12035 0.75
12036 0.25
12036 0.75
12037 0.25
12037 0.75
12038 0.25
12038 0.75
12043 0.25
12043 0.75
12044 0.25
12044 0.75
12045 0.25
12045 0.75
12046 0.25
12046 0.75
12204 0.25
12204 0.75
12206 0.25
12206 0.75
12216 0.25
12216 0.75
12217 0.25
12217 0.75
12388 0.25
12388 0.75
12389 0.25
12389 0.75
12415 0.25
12415 0.75
12560 0.25
12560 0.75
12561 0.25
12561 0.75
12587 0.25
12587 0.75
13841 0.25
13841 0.75
16617 0.25
16617 0.75
16619 0.25
16619 0.75
17243 0.25
17243 0.75
17318 0.25
17318 0.75
17488 0.25
17488 0.75
17491 0.25
17491 0.75
17492 0.25
17492 0.75
17496 0.25
17496 0.75
17856 0.25
17856 0.75
18012 0.25
18012 0.75
18022 0.25
18022 0.75
18033 0.25
18033 0.75
18207 0.25
18207 0.75
18208 0.25
18208 0.75
18916 0.25
18916 0.75
20037 0.25
20037 0.75
20038 0.25
20038 0.75
20039 0.25
20039 0.75
20040 0.25
20040 0.75
20041 0.25
20041 0.75
