pt_graph freq
930 0.75
1485 0.25
1532 0.25
1578 0.25
1583 0.25
1584 0.25
1585 0.25
1625 0.25
1628 0.25
1630 0.25
1677 0.25
1678 0.25
1679 0.25
1860 0.25
1862 0.25
1929 0.25
1931 0.25
2088 0.25
2169 0.25
2210 0.25
2257 0.25
2258 0.25
2259 0.25
2337 0.25
2338 0.25
2339 0.25
2446 0.25
2463 0.75
2523 0.25
2539 0.25
2561 0.25
2563 0.25
2615 0.25
2616 0.25
2630 0.25
2653 0.25
2655 0.25
2706 0.25
2707 0.25
2749 0.25
2750 0.25
2795 0.25
2800 0.25
2801 0.25
2816 0.25
2817 0.25
2843 0.25
2844 0.25
2890 0.25
2894 0.25
2896 0.25
2939 0.25
2968 0.25
2983 0.25
3000 0.25
3025 0.25
3026 0.25
3027 0.25
3059 0.25
3094 0.25
3116 0.25
3118 0.25
3149 0.25
3150 0.25
3201 0.25
3202 0.25
3204 0.25
3232 0.25
3284 0.25
3285 0.25
3357 0.25
3361 0.25
3383 0.25
3389 0.25
3412 0.25
3429 0.25
3432 0.25
3433 0.25
3434 0.25
3438 0.25
3453 0.25
3454 0.25
3496 0.25
3497 0.25
3499 0.25
3500 0.25
3501 0.25
3503 0.25
3504 0.25
3506 0.25
3508 0.25
3509 0.25
3529 0.25
3567 0.25
3568 0.25
3569 0.25
3570 0.25
3571 0.25
3572 0.25
3573 0.25
3574 0.25
3575 0.25
3576 0.25
3577 0.25
3580 0.25
3592 0.25
3593 0.25
3620 0.25
3633 0.25
3634 0.25
3635 0.25
3636 0.25
3637 0.25
3639 0.25
3640 0.25
3641 0.25
3642 0.25
3644 0.25
3645 0.25
3657 0.25
3695 0.25
3697 0.25
3698 0.25
3699 0.25
3700 0.25
3701 0.25
3702 0.25
3704 0.25
3707 0.25
3708 0.25
3716 0.25
3738 0.25
3744 0.25
3753 0.25
3757 0.25
3758 0.25
3759 0.25
3760 0.25
3761 0.25
3762 0.25
3763 0.25
3775 0.25
3803 0.25
3813 0.25
3816 0.25
3817 0.25
3818 0.25
3819 0.25
3820 0.25
3823 0.25
3856 0.25
3857 0.25
3859 0.25
3865 0.25
3866 0.25
3867 0.25
3870 0.25
3871 0.25
3872 0.25
3873 0.25
3874 0.25
3912 0.25
3913 0.25
3915 0.25
3922 0.25
3923 0.25
3924 0.25
3929 0.25
3930 0.25
3942 0.25
3967 0.25
3968 0.25
3970 0.25
3975 0.25
3976 0.25
3977 0.25
3978 0.25
4025 0.25
4033 0.25
4037 0.25
4038 0.25
4039 0.25
4043 0.25
4074 0.25
4077 0.25
4084 0.25
4085 0.25
4088 0.25
4089 0.25
4090 0.25
4094 0.25
4121 0.25
4127 0.25
4128 0.25
4133 0.25
4134 0.25
4135 0.25
4137 0.25
4138 0.25
4160 0.25
4162 0.25
4171 0.25
4172 0.25
4176 0.25
4177 0.25
4179 0.25
4180 0.25
4181 0.25
4198 0.25
4206 0.25
4208 0.25
4209 0.25
4212 0.25
4213 0.25
4214 0.25
4217 0.25
4244 0.25
4246 0.25
4248 0.25
4249 0.25
4250 0.25
4251 0.25
4252 0.25
4253 0.25
4287 0.25
4288 0.25
4289 0.25
4290 0.25
4291 0.25
4292 0.25
4294 0.25
4295 0.25
4325 0.25
4326 0.25
4327 0.25
4328 0.25
4329 0.25
4330 0.25
4331 0.25
4332 0.25
4333 0.25
4334 0.25
4335 0.25
4369 0.25
4370 0.25
4371 0.25
4372 0.25
4373 0.25
4374 0.25
4375 0.25
4376 0.25
4382 0.25
4409 0.25
4410 0.25
4411 0.25
4412 0.25
4413 0.25
4414 0.25
4415 0.25
4451 0.25
4454 0.25
4489 0.25
4490 0.25
4524 0.25
4525 0.25
4561 0.25
4562 0.25
4870 0.25
4946 0.25
4987 0.25
5045 0.25
5069 0.25
5159 0.25
5174 0.25
5175 0.25
5195 0.25
5198 0.25
5224 0.25
5251 0.25
5309 0.25
5310 0.25
5311 0.25
5340 0.25
5341 0.25
5342 0.25
5343 0.25
5349 0.25
5372 0.25
5403 0.25
5407 0.25
5434 0.25
5478 0.75
5484 0.25
5498 0.25
5499 0.25
5501 0.25
5515 0.75
5516 0.75
5536 0.25
5551 0.75
5552 0.75
5553 0.75
5573 0.25
5577 0.25
5594 0.75
5596 0.75
5638 0.75
5665 0.25
5706 0.25
5710 0.25
5711 0.25
5733 0.25
5752 0.25
5786 0.25
5795 0.25
5800 0.25
5807 0.25
5819 0.25
5820 0.75
5826 0.25
5836 0.25
5848 0.75
5919 0.25
5946 0.25
5947 0.25
5984 0.25
6024 0.25
6034 0.25
6062 0.25
6100 0.25
6137 0.25
6154 0.75
6174 0.25
6175 0.25
6204 0.25
6210 0.25
6213 0.25
6214 0.25
6225 0.25
6251 0.25
6252 0.25
6253 0.25
6254 0.25
6284 0.25
6292 0.25
6293 0.25
6294 0.25
6295 0.25
6323 0.25
6328 0.25
6330 0.25
6332 0.25
6333 0.25
6334 0.25
6370 0.25
6371 0.25
6372 0.25
6373 0.25
6374 0.25
6411 0.25
6412 0.25
6413 0.25
6414 0.25
6415 0.25
6416 0.25
6449 0.25
6450 0.25
6451 0.25
6452 0.25
6453 0.25
6454 0.25
6455 0.25
6456 0.25
6490 0.25
6491 0.25
6492 0.25
6493 0.25
6494 0.25
6495 0.25
6496 0.25
6497 0.25
6498 0.25
6527 0.25
6530 0.25
6531 0.25
6532 0.25
6533 0.25
6535 0.25
6536 0.25
6537 0.25
6538 0.25
6542 0.25
6543 0.25
6544 0.25
6566 0.25
6568 0.25
6573 0.25
6574 0.25
6575 0.25
6576 0.25
6577 0.25
6578 0.25
6581 0.25
6582 0.25
6583 0.25
6584 0.25
6606 0.25
6607 0.25
6608 0.25
6609 0.25
6610 0.25
6613 0.25
6614 0.25
6615 0.25
6616 0.25
6617 0.25
6618 0.25
6620 0.25
6621 0.25
6642 0.25
6645 0.25
6646 0.25
6652 0.25
6653 0.25
6654 0.25
6655 0.25
6657 0.25
6658 0.25
6659 0.25
6660 0.25
6661 0.25
6662 0.25
6683 0.25
6684 0.25
6685 0.25
6687 0.25
6688 0.25
6689 0.25
6691 0.25
6692 0.25
6693 0.25
6694 0.25
6695 0.25
6696 0.25
6697 0.25
6698 0.25
6699 0.25
6700 0.25
6721 0.25
6724 0.25
6727 0.25
6728 0.25
6731 0.25
6732 0.25
6733 0.25
6734 0.25
6735 0.25
6736 0.25
6737 0.25
6738 0.25
6739 0.25
6741 0.25
6759 0.25
6760 0.25
6764 0.25
6765 0.25
6769 0.25
6770 0.25
6771 0.25
6772 0.25
6774 0.25
6794 0.25
6797 0.25
6798 0.25
6804 0.25
6805 0.25
6806 0.25
6807 0.25
6809 0.25
6812 0.25
6813 0.25
6823 0.75
6834 0.25
6835 0.25
6843 0.25
6844 0.25
6845 0.25
6846 0.25
6847 0.25
6873 0.25
6879 0.25
6882 0.25
6884 0.25
6886 0.25
6909 0.25
6912 0.25
6913 0.25
6918 0.25
6927 0.25
6953 0.25
7094 0.25
7147 0.25
7171 0.25
7275 0.25
7552 0.25
7555 0.25
7754 0.25
7762 0.25
7763 0.25
7825 0.25
7832 0.25
7898 0.25
7905 0.25
7906 0.25
7980 0.25
