pt_graph shape
15774 1
15774 1
15774 1
15774 1
15774 1
15774 1
15774 1
15774 1
15774 1
15774 1
15774 1
15774 1
15774 1
15774 1
15774 1
15774 1
15774 1
15774 1
15774 1
15774 1
15774 1
16115 1
16115 1
16115 1
16115 1
16115 1
16115 1
16115 1
16115 1
16115 1
16115 1
16115 1
16115 1
16115 1
16115 1
16115 1
16115 1
16115 1
16115 1
16115 1
16115 1
16115 1
18916 1
18916 1
18916 1
18916 1
18916 1
18916 1
18916 1
18916 1
18916 1
18916 1
18916 1
18916 1
18916 1
18916 1
18916 1
18916 1
18916 1
18916 1
18916 1
18916 1
18916 1
18739 1
18739 1
18739 1
18739 1
18739 1
18739 1
18739 1
18739 1
18739 1
18739 1
18739 1
18739 1
18739 1
18739 1
18739 1
18739 1
18739 1
18739 1
18739 1
18739 1
18739 1
18917 1
18917 1
18917 1
18917 1
18917 1
18917 1
18917 1
18917 1
18917 1
18917 1
18917 1
18917 1
18917 1
18917 1
18917 1
18917 1
18917 1
18917 1
18917 1
18917 1
18917 1
17856 1
17856 1
17856 1
17856 1
17856 1
17856 1
17856 1
17856 1
17856 1
17856 1
17856 1
17856 1
17856 1
17856 1
17856 1
17856 1
17856 1
17856 1
17856 1
17856 1
17856 1
18033 1
18033 1
18033 1
18033 1
18033 1
18033 1
18033 1
18033 1
18033 1
18033 1
18033 1
18033 1
18033 1
18033 1
18033 1
18033 1
18033 1
18033 1
18033 1
18033 1
18033 1
18207 1
18207 1
18207 1
18207 1
18207 1
18207 1
18207 1
18207 1
18207 1
18207 1
18207 1
18207 1
18207 1
18207 1
18207 1
18207 1
18207 1
18207 1
18207 1
18207 1
18207 1
18034 1
18034 1
18034 1
18034 1
18034 1
18034 1
18034 1
18034 1
18034 1
18034 1
18034 1
18034 1
18034 1
18034 1
18034 1
18034 1
18034 1
18034 1
18034 1
18034 1
18034 1
18208 1
18208 1
18208 1
18208 1
18208 1
18208 1
18208 1
18208 1
18208 1
18208 1
18208 1
18208 1
18208 1
18208 1
18208 1
18208 1
18208 1
18208 1
18208 1
18208 1
18208 1
18383 1
18383 1
18383 1
18383 1
18383 1
18383 1
18383 1
18383 1
18383 1
18383 1
18383 1
18383 1
18383 1
18383 1
18383 1
18383 1
18383 1
18383 1
18383 1
18383 1
18383 1
11565 1
11565 1
11565 1
11565 1
11565 1
11565 1
11565 1
11565 1
11565 1
11565 1
11565 1
11565 1
11565 1
11565 1
11565 1
11565 1
11565 1
11565 1
11565 1
11565 1
11565 1
11413 1
11413 1
11413 1
11413 1
11413 1
11413 1
11413 1
11413 1
11413 1
11413 1
11413 1
11413 1
11413 1
11413 1
11413 1
11413 1
11413 1
11413 1
11413 1
11413 1
11413 1
11569 1
11569 1
11569 1
11569 1
11569 1
11569 1
11569 1
11569 1
11569 1
11569 1
11569 1
11569 1
11569 1
11569 1
11569 1
11569 1
11569 1
11569 1
11569 1
11569 1
11569 1
11570 1
11570 1
11570 1
11570 1
11570 1
11570 1
11570 1
11570 1
11570 1
11570 1
11570 1
11570 1
11570 1
11570 1
11570 1
11570 1
11570 1
11570 1
11570 1
11570 1
11570 1
11898 1
11898 1
11898 1
11898 1
11898 1
11898 1
11898 1
11898 1
11898 1
11898 1
11898 1
11898 1
11898 1
11898 1
11898 1
11898 1
11898 1
11898 1
11898 1
11898 1
11898 1
11572 1
11572 1
11572 1
11572 1
11572 1
11572 1
11572 1
11572 1
11572 1
11572 1
11572 1
11572 1
11572 1
11572 1
11572 1
11572 1
11572 1
11572 1
11572 1
11572 1
11572 1
11735 1
11735 1
11735 1
11735 1
11735 1
11735 1
11735 1
11735 1
11735 1
11735 1
11735 1
11735 1
11735 1
11735 1
11735 1
11735 1
11735 1
11735 1
11735 1
11735 1
11735 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
11900 1
12069 1
12069 1
12069 1
12069 1
12069 1
12069 1
12069 1
12069 1
12069 1
12069 1
12069 1
12069 1
12069 1
12069 1
12069 1
12069 1
12069 1
12069 1
12069 1
12069 1
12069 1
12241 1
12241 1
12241 1
12241 1
12241 1
12241 1
12241 1
12241 1
12241 1
12241 1
12241 1
12241 1
12241 1
12241 1
12241 1
12241 1
12241 1
12241 1
12241 1
12241 1
12241 1
19436 1
19436 1
19436 1
19436 1
19436 1
19436 1
19436 1
19436 1
19436 1
19436 1
19436 1
19436 1
19436 1
19436 1
19436 1
19436 1
19436 1
19436 1
19436 1
