pt_graph freq
730 0.75
730 0.25
826 0.75
826 0.25
914 0.75
914 0.25
918 0.75
918 0.25
1024 0.75
1024 0.25
1082 0.75
1082 0.25
1150 0.75
1150 0.25
1219 0.75
1219 0.25
1221 0.75
1221 0.25
1296 0.75
1296 0.25
1297 0.75
1297 0.25
1547 0.75
1547 0.25
1548 0.75
1548 0.25
1549 0.75
1549 0.25
1583 0.75
1583 0.25
1627 0.75
1627 0.25
1664 0.75
1664 0.25
1665 0.75
1665 0.25
1666 0.75
1666 0.25
1667 0.75
1667 0.25
1755 0.75
1755 0.25
1756 0.75
1756 0.25
1757 0.75
1757 0.25
1759 0.75
1759 0.25
1829 0.75
1829 0.25
1848 0.75
1848 0.25
1905 0.75
1905 0.25
1941 0.75
1941 0.25
1943 0.75
1943 0.25
1997 0.75
1997 0.25
2036 0.75
2036 0.25
2038 0.75
2038 0.25
2039 0.75
2039 0.25
2040 0.75
2040 0.25
2090 0.75
2090 0.25
2130 0.75
2130 0.25
2131 0.75
2131 0.25
2132 0.75
2132 0.25
2133 0.75
2133 0.25
2134 0.75
2134 0.25
2186 0.75
2186 0.25
2201 0.75
2201 0.25
2225 0.75
2225 0.25
2226 0.75
2226 0.25
2227 0.75
2227 0.25
2228 0.75
2228 0.25
2229 0.75
2229 0.25
2258 0.75
2258 0.25
2273 0.75
2273 0.25
2315 0.75
2315 0.25
2316 0.75
2316 0.25
2317 0.75
2317 0.25
2318 0.75
2318 0.25
2319 0.75
2319 0.25
2349 0.75
2349 0.25
2407 0.75
2407 0.25
2408 0.75
2408 0.25
2409 0.75
2409 0.25
2411 0.75
2411 0.25
2440 0.75
2440 0.25
2492 0.75
2492 0.25
2493 0.75
2493 0.25
2494 0.75
2494 0.25
2495 0.75
2495 0.25
2496 0.75
2496 0.25
2552 0.75
2552 0.25
2574 0.75
2574 0.25
2575 0.75
2575 0.25
2576 0.75
2576 0.25
2577 0.75
2577 0.25
2578 0.75
2578 0.25
2579 0.75
2579 0.25
2651 0.75
2651 0.25
2652 0.75
2652 0.25
2653 0.75
2653 0.25
2654 0.75
2654 0.25
2655 0.75
2655 0.25
2672 0.75
2672 0.25
2718 0.75
2718 0.25
2719 0.75
2719 0.25
2723 0.75
2723 0.25
2724 0.75
2724 0.25
2725 0.75
2725 0.25
2726 0.75
2726 0.25
2742 0.75
2742 0.25
2744 0.75
2744 0.25
2786 0.75
2786 0.25
2789 0.75
2789 0.25
2791 0.75
2791 0.25
2793 0.75
2793 0.25
2794 0.75
2794 0.25
2795 0.75
2795 0.25
2796 0.75
2796 0.25
2799 0.75
2799 0.25
2816 0.75
2816 0.25
2858 0.75
2858 0.25
2859 0.75
2859 0.25
2861 0.75
2861 0.25
2863 0.75
2863 0.25
2865 0.75
2865 0.25
2866 0.75
2866 0.25
2867 0.75
2867 0.25
2870 0.75
2870 0.25
2923 0.75
2923 0.25
2924 0.75
2924 0.25
2925 0.75
2925 0.25
2927 0.75
2927 0.25
2930 0.75
2930 0.25
2931 0.75
2931 0.25
2932 0.75
2932 0.25
2935 0.75
2935 0.25
2946 0.75
2946 0.25
2974 0.75
2974 0.25
2988 0.75
2988 0.25
2990 0.75
2990 0.25
2992 0.75
2992 0.25
3006 0.75
3006 0.25
3034 0.75
3034 0.25
3043 0.75
3043 0.25
3046 0.75
3046 0.25
3047 0.75
3047 0.25
3049 0.75
3049 0.25
3050 0.75
3050 0.25
3051 0.75
3051 0.25
3091 0.75
3091 0.25
3107 0.75
3107 0.25
3108 0.75
3108 0.25
3109 0.75
3109 0.25
3148 0.75
3148 0.25
3149 0.75
3149 0.25
3157 0.75
3157 0.25
3162 0.75
3162 0.25
3163 0.75
3163 0.25
3209 0.75
3209 0.25
3213 0.75
3213 0.25
3214 0.75
3214 0.25
3219 0.75
3219 0.25
3231 0.75
3231 0.25
3267 0.75
3267 0.25
3268 0.75
3268 0.25
3323 0.75
3323 0.25
3327 0.75
3327 0.25
3328 0.75
3328 0.25
3378 0.75
3378 0.25
3380 0.75
3380 0.25
3423 0.75
3423 0.25
3424 0.75
3424 0.25
3427 0.75
3427 0.25
3497 0.75
3497 0.25
3499 0.75
3499 0.25
3502 0.75
3502 0.25
3503 0.75
3503 0.25
3507 0.75
3507 0.25
3534 0.75
3534 0.25
3539 0.75
3539 0.25
3540 0.75
3540 0.25
3541 0.75
3541 0.25
3577 0.75
3577 0.25
3579 0.75
3579 0.25
3581 0.75
3581 0.25
3582 0.75
3582 0.25
3584 0.75
3584 0.25
3617 0.75
3617 0.25
3618 0.75
3618 0.25
3620 0.75
3620 0.25
3622 0.75
3622 0.25
3623 0.75
3623 0.25
3625 0.75
3625 0.25
3659 0.75
3659 0.25
3663 0.75
3663 0.25
3664 0.75
3664 0.25
3665 0.75
3665 0.25
3666 0.75
3666 0.25
3668 0.75
3668 0.25
3700 0.75
3700 0.25
3703 0.75
3703 0.25
3704 0.75
3704 0.25
3740 0.75
3740 0.25
4279 0.75
4279 0.25
4293 0.75
4293 0.25
4514 0.75
4514 0.25
4545 0.75
4545 0.25
4631 0.75
4631 0.25
4633 0.75
4633 0.25
4662 0.75
4662 0.25
4698 0.75
4698 0.25
4726 0.75
4726 0.25
4789 0.75
4789 0.25
4804 0.75
4804 0.25
4805 0.75
4805 0.25
4806 0.75
4806 0.25
4809 0.75
4809 0.25
4841 0.75
4841 0.25
4842 0.75
4842 0.25
4843 0.75
4843 0.25
4930 0.75
4930 0.25
4975 0.75
4975 0.25
4976 0.75
4976 0.25
4996 0.75
4996 0.25
5049 0.75
5049 0.25
5067 0.75
5067 0.25
5076 0.75
5076 0.25
5084 0.75
5084 0.25
5085 0.75
5085 0.25
5090 0.75
5090 0.25
5161 0.75
5161 0.25
5172 0.75
5172 0.25
5173 0.75
5173 0.25
5210 0.75
5210 0.25
5248 0.75
5248 0.25
5274 0.75
5274 0.25
5314 0.75
5314 0.25
5366 0.75
5366 0.25
5407 0.75
5407 0.25
5427 0.75
5427 0.25
5459 0.75
5459 0.25
5465 0.75
5465 0.25
5503 0.75
5503 0.25
5504 0.75
5504 0.25
5534 0.75
5534 0.25
5539 0.75
5539 0.25
5541 0.75
5541 0.25
5543 0.75
5543 0.25
5544 0.75
5544 0.25
5583 0.75
5583 0.25
5584 0.75
5584 0.25
5617 0.75
5617 0.25
5620 0.75
5620 0.25
5622 0.75
5622 0.25
5623 0.75
5623 0.25
5653 0.75
5653 0.25
5661 0.75
5661 0.25
5662 0.75
5662 0.25
5663 0.75
5663 0.25
5664 0.75
5664 0.25
5669 0.75
5669 0.25
5701 0.75
5701 0.25
5702 0.75
5702 0.25
5704 0.75
5704 0.25
5705 0.75
5705 0.25
5706 0.75
5706 0.25
5719 0.75
5719 0.25
5739 0.75
5739 0.25
5743 0.75
5743 0.25
5744 0.75
5744 0.25
5745 0.75
5745 0.25
5746 0.75
5746 0.25
5758 0.75
5758 0.25
5779 0.75
5779 0.25
5780 0.75
5780 0.25
5785 0.75
5785 0.25
5786 0.75
5786 0.25
5787 0.75
5787 0.25
5823 0.75
5823 0.25
5825 0.75
5825 0.25
5826 0.75
5826 0.25
5827 0.75
5827 0.25
5828 0.75
5828 0.25
5858 0.75
5858 0.25
5863 0.75
5863 0.25
5864 0.75
5864 0.25
5865 0.75
5865 0.25
5866 0.75
5866 0.25
5871 0.75
5871 0.25
5872 0.75
5872 0.25
5873 0.75
5873 0.25
5874 0.75
5874 0.25
5896 0.75
5896 0.25
5904 0.75
5904 0.25
5905 0.75
5905 0.25
5906 0.75
5906 0.25
5907 0.75
5907 0.25
5908 0.75
5908 0.25
5911 0.75
5911 0.25
5935 0.75
5935 0.25
5938 0.75
5938 0.25
5942 0.75
5942 0.25
5943 0.75
5943 0.25
5944 0.75
5944 0.25
5945 0.75
5945 0.25
5947 0.75
5947 0.25
5949 0.75
5949 0.25
5950 0.75
5950 0.25
5978 0.75
5978 0.25
5983 0.75
5983 0.25
5984 0.75
5984 0.25
5985 0.75
5985 0.25
5986 0.75
5986 0.25
5987 0.75
5987 0.25
5989 0.75
5989 0.25
5990 0.75
5990 0.25
5991 0.75
5991 0.25
6014 0.75
6014 0.25
6018 0.75
6018 0.25
6023 0.75
6023 0.25
6024 0.75
6024 0.25
6025 0.75
6025 0.25
6026 0.75
6026 0.25
6028 0.75
6028 0.25
6029 0.75
6029 0.25
6050 0.75
6050 0.25
6053 0.75
6053 0.25
6055 0.75
6055 0.25
6059 0.75
