pt_graph met
18 15
25 15
37 15
38 15
39 15
117 15
231 15
232 15
276 15
312 15
334 15
339 15
367 15
402 15
406 15
465 15
466 15
504 15
528 15
539 15
541 15
542 15
583 15
585 15
616 15
617 15
620 15
621 15
659 15
694 15
698 15
742 15
744 15
766 14
770 15
773 15
774 15
837 15
856 15
857 15
905 15
982 15
1009 15
1092 15
1101 15
1104 15
1171 15
1175 15
1185 15
1233 15
1253 15
1266 15
1319 15
1335 15
1349 15
1396 15
1408 15
1463 15
1717 15
1727 15
1864 15
2337 15
2341 15
2445 15
2489 15
2589 15
2591 15
2639 15
2647 15
2698 15
2699 15
2748 15
2749 15
2853 15
2854 15
2909 15
2965 15
3017 15
3018 15
3073 15
3123 15
3180 15
3235 15
3236 15
3237 15
3289 15
3290 15
3291 15
3292 15
3350 15
3352 15
3411 15
3480 15
3481 15
3545 15
3547 15
3548 15
3549 15
3550 15
3608 14
3616 15
3617 15
3618 15
3619 15
3620 15
3621 15
3687 15
3760 15
