pt_graph met
7763 10
7763 11
7832 10
7832 11
7905 10
7905 11
7906 10
7906 11
7907 10
7907 11
7980 10
7980 11
7981 10
7981 11
8054 10
8054 11
8055 10
8055 11
8132 10
8132 11
8133 10
8133 11
8214 10
8214 11
8215 10
8215 11
8302 10
8302 11
8303 10
8303 11
8304 10
8304 11
8394 10
8394 11
8395 10
8395 11
8489 10
8489 11
8490 10
8490 11
8585 10
8585 11
8586 10
8586 11
8587 10
8587 11
8690 10
8690 11
8691 10
8691 11
8692 10
8692 11
8693 10
8693 11
8798 10
8798 11
8799 10
8799 11
8800 10
8800 11
8904 10
8904 11
8909 10
8909 11
8910 10
8910 11
8911 10
8911 11
8912 10
8912 11
9026 10
9026 11
9027 10
9027 11
9028 10
9028 11
9143 10
9143 11
9144 10
9144 11
9145 10
9145 11
9146 10
9146 11
9265 10
9265 11
9266 10
9266 11
9267 10
9267 11
9387 10
9387 11
9389 10
9389 11
9510 10
9510 11
9511 10
9511 11
9513 10
9513 11
9633 10
9633 11
9634 10
9634 11
9635 10
9635 11
9751 10
9751 11
9752 10
9752 11
9753 10
9753 11
9754 10
9754 11
9755 10
9755 11
9876 10
9876 11
10374 10
10374 11
10623 10
10623 11
10741 10
10741 11
10861 10
10861 11
10862 10
10862 11
10982 10
10982 11
10983 10
10983 11
10984 10
10984 11
11104 10
11104 11
11110 10
11110 11
11111 10
11111 11
11112 10
11112 11
11225 10
11225 11
11233 10
11233 11
11234 10
11234 11
11235 10
11235 11
11237 10
11237 11
11238 10
11238 11
11361 10
11361 11
11364 10
11364 11
11365 10
11365 11
11371 10
11371 11
11502 10
11502 11
11504 10
11504 11
11505 10
11505 11
11508 10
11508 11
11509 10
11509 11
11510 10
11510 11
11511 10
11511 11
11514 10
11514 11
11518 10
11518 11
11644 10
11644 11
11645 10
11645 11
11647 10
11647 11
11649 10
11649 11
11650 10
11650 11
11651 10
11651 11
11653 10
11653 11
11654 10
11654 11
11783 10
11783 11
11784 10
11784 11
11785 10
11785 11
11786 10
11786 11
11787 10
11787 11
11788 10
11788 11
11789 10
11789 11
11790 10
11790 11
11791 10
11791 11
11792 10
11792 11
11926 10
11926 11
11927 10
11927 11
11928 10
11928 11
11931 10
11931 11
11932 10
11932 11
11933 10
11933 11
11934 10
11934 11
11935 10
11935 11
11936 10
11936 11
11937 10
11937 11
11940 10
11940 11
11942 10
11942 11
12078 10
12078 11
12079 10
12079 11
12080 10
12080 11
12081 10
12081 11
12083 10
12083 11
12085 10
12085 11
12086 10
12086 11
12087 10
12087 11
12088 10
12088 11
12089 10
12089 11
12090 10
12090 11
12091 10
12091 11
12092 10
12092 11
12093 10
12093 11
12094 10
12094 11
12097 10
12097 11
12102 10
12102 11
12232 10
12232 11
12233 10
12233 11
12234 10
12234 11
12238 10
12238 11
12241 10
12241 11
12242 10
12242 11
12243 10
12243 11
12244 10
12244 11
12245 10
12245 11
12246 10
12246 11
12247 10
12247 11
12248 10
12248 11
12249 10
12249 11
12250 10
12250 11
12256 10
12256 11
12257 10
12257 11
12258 10
12258 11
12394 10
12394 11
12395 10
12395 11
12396 10
12396 11
12399 10
12399 11
12401 10
12401 11
12404 10
12404 11
12405 10
12405 11
12406 10
12406 11
12407 10
12407 11
12408 10
12408 11
12409 10
12409 11
12410 10
12410 11
12411 10
12411 11
12412 10
12412 11
12413 10
12413 11
12414 10
12414 11
12439 10
12439 11
12560 10
12560 11
12563 10
12563 11
12569 10
12569 11
12572 10
12572 11
12573 10
12573 11
12574 10
12574 11
12575 10
12575 11
12576 10
12576 11
12577 10
12577 11
12578 10
12578 11
12579 10
12579 11
12580 10
12580 11
12585 10
12585 11
12725 10
12725 11
12727 10
12727 11
12728 10
12728 11
12735 10
12735 11
12742 10
12742 11
12743 10
12743 11
12744 10
12744 11
12745 10
12745 11
12746 10
12746 11
12747 10
12747 11
12748 10
12748 11
12754 10
12754 11
12755 10
12755 11
12779 10
12779 11
12899 10
12899 11
12901 10
12901 11
12915 10
12915 11
12916 10
12916 11
12951 10
12951 11
13069 10
13069 11
13098 10
13098 11
13099 10
13099 11
13240 10
13240 11
13241 10
13241 11
13245 10
13245 11
13247 10
13247 11
13416 10
13416 11
13592 10
13592 11
13777 10
13777 11
13806 10
13806 11
17324 10
17324 11
17329 10
17329 11
17502 10
17502 11
17855 10
17855 11
18205 10
18205 11
19093 10
19093 11
20747 10
20747 11
20748 10
20748 11
20750 10
20750 11
20883 10
20883 11
