pt_graph freq
5846 0.25
5846 0.75
5958 0.25
5958 0.75
5961 0.25
5961 0.75
5997 0.25
5997 0.75
6032 0.25
6032 0.75
6034 0.25
6034 0.75
6039 0.25
6039 0.75
6072 0.25
6072 0.75
6076 0.25
6076 0.75
6110 0.25
6110 0.75
6114 0.25
6114 0.75
6152 0.25
6152 0.75
6307 0.25
6307 0.75
6419 0.25
6419 0.75
6457 0.25
6457 0.75
6497 0.25
6497 0.75
6498 0.25
6498 0.75
6536 0.25
6536 0.75
6537 0.25
6537 0.75
6538 0.25
6538 0.75
6544 0.25
6544 0.75
6559 0.25
6559 0.75
6573 0.25
6573 0.75
6574 0.25
6574 0.75
6575 0.25
6575 0.75
6576 0.25
6576 0.75
6577 0.25
6577 0.75
6578 0.25
6578 0.75
6580 0.25
6580 0.75
6581 0.25
6581 0.75
6582 0.25
6582 0.75
6583 0.25
6583 0.75
6584 0.25
6584 0.75
6585 0.25
6585 0.75
6612 0.25
6612 0.75
6613 0.25
6613 0.75
6614 0.25
6614 0.75
6615 0.25
6615 0.75
6616 0.25
6616 0.75
6617 0.25
6617 0.75
6618 0.25
6618 0.75
6620 0.25
6620 0.75
6621 0.25
6621 0.75
6650 0.25
6650 0.75
6652 0.25
6652 0.75
6653 0.25
6653 0.75
6654 0.25
6654 0.75
6655 0.25
6655 0.75
6657 0.25
6657 0.75
6659 0.25
6659 0.75
6660 0.25
6660 0.75
6692 0.25
6692 0.75
6693 0.25
6693 0.75
6694 0.25
6694 0.75
6695 0.25
6695 0.75
6696 0.25
6696 0.75
6697 0.25
6697 0.75
6699 0.25
6699 0.75
6700 0.25
6700 0.75
6701 0.25
6701 0.75
6728 0.25
6728 0.75
6730 0.25
6730 0.75
6731 0.25
6731 0.75
6732 0.25
6732 0.75
6733 0.25
6733 0.75
6734 0.25
6734 0.75
6735 0.25
6735 0.75
6736 0.25
6736 0.75
6737 0.25
6737 0.75
6738 0.25
6738 0.75
6739 0.25
6739 0.75
6740 0.25
6740 0.75
6764 0.25
6764 0.75
6765 0.25
6765 0.75
6769 0.25
6769 0.75
6770 0.25
6770 0.75
6771 0.25
6771 0.75
6772 0.25
6772 0.75
6774 0.25
6774 0.75
6775 0.25
6775 0.75
6776 0.25
6776 0.75
6777 0.25
6777 0.75
6804 0.25
6804 0.75
6806 0.25
6806 0.75
6807 0.25
6807 0.75
6810 0.25
6810 0.75
6841 0.25
6841 0.75
6843 0.25
6843 0.75
6844 0.25
6844 0.75
6845 0.25
6845 0.75
6846 0.25
6846 0.75
6847 0.25
6847 0.75
6848 0.25
6848 0.75
6873 0.25
6873 0.75
6874 0.25
6874 0.75
6882 0.25
6882 0.75
6883 0.25
6883 0.75
6884 0.25
6884 0.75
6888 0.25
6888 0.75
6912 0.25
6912 0.75
6958 0.25
6958 0.75
6963 0.25
6963 0.75
6995 0.25
6995 0.75
6999 0.25
6999 0.75
7003 0.25
7003 0.75
7392 0.25
7392 0.75
7450 0.25
7450 0.75
7493 0.25
7493 0.75
7681 0.25
7681 0.75
7752 0.25
7752 0.75
7761 0.25
7761 0.75
7763 0.25
7763 0.75
7825 0.25
7825 0.75
7832 0.25
7832 0.75
7834 0.25
7834 0.75
7898 0.25
7898 0.75
7905 0.25
7905 0.75
7906 0.25
7906 0.75
7980 0.25
7980 0.75
7981 0.25
7981 0.75
8020 0.25
8020 0.75
8054 0.25
8054 0.75
8055 0.25
8055 0.75
8132 0.25
8132 0.75
8133 0.25
8133 0.75
8214 0.25
8214 0.75
8215 0.25
8215 0.75
8293 0.25
8293 0.75
8301 0.25
8301 0.75
8302 0.25
8302 0.75
8303 0.25
8303 0.75
8394 0.25
8394 0.75
8395 0.25
8395 0.75
8489 0.25
8489 0.75
8490 0.25
8490 0.75
8491 0.25
8491 0.75
8585 0.25
8585 0.75
8586 0.25
8586 0.75
8587 0.25
8587 0.75
8588 0.25
8588 0.75
8690 0.25
8690 0.75
8691 0.25
8691 0.75
8692 0.25
8692 0.75
8798 0.25
8798 0.75
8799 0.25
8799 0.75
8800 0.25
8800 0.75
8801 0.25
8801 0.75
8910 0.25
8910 0.75
8911 0.25
8911 0.75
8912 0.25
8912 0.75
