pt_graph freq
819 0.75
819 0.25
822 0.75
822 0.25
827 0.75
827 0.25
869 0.75
869 0.25
872 0.75
872 0.25
874 0.75
874 0.25
915 0.75
915 0.25
918 0.75
918 0.25
920 0.75
920 0.25
965 0.75
965 0.25
967 0.75
967 0.25
1024 0.75
1024 0.25
1081 0.75
1081 0.25
1082 0.75
1082 0.25
1150 0.75
1150 0.25
1152 0.75
1152 0.25
1219 0.75
1219 0.25
1221 0.75
1221 0.25
1296 0.75
1296 0.25
1378 0.75
1378 0.25
1547 0.75
1547 0.25
1548 0.75
1548 0.25
1549 0.75
1549 0.25
1627 0.75
1627 0.25
1629 0.75
1629 0.25
1829 0.75
1829 0.25
1905 0.75
1905 0.25
1920 0.75
1920 0.25
1997 0.75
1997 0.25
2069 0.75
2069 0.25
2070 0.75
2070 0.25
2090 0.75
2090 0.25
2091 0.75
2091 0.25
2166 0.75
2166 0.25
2167 0.75
2167 0.25
2180 0.75
2180 0.25
2184 0.75
2184 0.25
2185 0.75
2185 0.25
2186 0.75
2186 0.25
2258 0.75
2258 0.25
2273 0.75
2273 0.25
2349 0.75
2349 0.25
2440 0.75
2440 0.25
2522 0.75
2522 0.25
2672 0.75
2672 0.25
2673 0.75
2673 0.25
2674 0.75
2674 0.25
2675 0.75
2675 0.25
2741 0.75
2741 0.25
2742 0.75
2742 0.25
2746 0.75
2746 0.25
2816 0.75
2816 0.25
2817 0.75
2817 0.25
2883 0.75
2883 0.25
2947 0.75
2947 0.25
3006 0.75
3006 0.25
3034 0.75
3034 0.25
3035 0.75
3035 0.25
3065 0.75
3065 0.25
3094 0.75
3094 0.25
3095 0.75
3095 0.25
3175 0.75
3175 0.25
3208 0.75
3208 0.25
3258 0.75
3258 0.25
3260 0.75
3260 0.25
3290 0.75
3290 0.25
3315 0.75
3315 0.25
3317 0.75
3317 0.25
3319 0.75
3319 0.25
3322 0.75
3322 0.25
3364 0.75
3364 0.25
3367 0.75
3367 0.25
3371 0.75
3371 0.25
3372 0.75
3372 0.25
3409 0.75
3409 0.25
3413 0.75
3413 0.25
3417 0.75
3417 0.25
3452 0.75
3452 0.25
3461 0.75
3461 0.25
3488 0.75
3488 0.25
3496 0.75
3496 0.25
3498 0.75
3498 0.25
3533 0.75
3533 0.25
3534 0.75
3534 0.25
3536 0.75
3536 0.25
3576 0.75
3576 0.25
3577 0.75
3577 0.25
3578 0.75
3578 0.25
3579 0.75
3579 0.25
3616 0.75
3616 0.25
3617 0.75
3617 0.25
3618 0.75
3618 0.25
3619 0.75
3619 0.25
3620 0.75
3620 0.25
3659 0.75
3659 0.25
3660 0.75
3660 0.25
3661 0.75
3661 0.25
3662 0.75
3662 0.25
3663 0.75
3663 0.25
3700 0.75
3700 0.25
3701 0.75
3701 0.25
3702 0.75
3702 0.25
3703 0.75
3703 0.25
3740 0.75
3740 0.25
3777 0.75
3777 0.25
3892 0.75
3892 0.25
4058 0.75
4058 0.25
4216 0.75
4216 0.25
4256 0.75
4256 0.25
4293 0.75
4293 0.25
4308 0.75
4308 0.25
4322 0.75
4322 0.25
4375 0.75
4375 0.25
4382 0.75
4382 0.25
4402 0.75
4402 0.25
4465 0.75
4465 0.25
4488 0.75
4488 0.25
4514 0.75
4514 0.25
4541 0.75
4541 0.25
4572 0.75
4572 0.25
4598 0.75
4598 0.25
4600 0.75
4600 0.25
4601 0.75
4601 0.25
4603 0.75
4603 0.25
4608 0.75
4608 0.25
4624 0.75
4624 0.25
4631 0.75
4631 0.25
4632 0.75
4632 0.25
4633 0.75
4633 0.25
4638 0.75
4638 0.25
4662 0.75
4662 0.25
4664 0.75
4664 0.25
4665 0.75
4665 0.25
4728 0.75
4728 0.25
4729 0.75
4729 0.25
4759 0.75
4759 0.25
4789 0.75
4789 0.25
4804 0.75
4804 0.25
4805 0.75
4805 0.25
4806 0.75
4806 0.25
4826 0.75
4826 0.25
4827 0.75
4827 0.25
4840 0.75
4840 0.25
4841 0.75
4841 0.25
4842 0.75
4842 0.25
4843 0.75
4843 0.25
4845 0.75
4845 0.25
4863 0.75
4863 0.25
4867 0.75
4867 0.25
4883 0.75
4883 0.25
4884 0.75
4884 0.25
4885 0.75
4885 0.25
4886 0.75
4886 0.25
4910 0.75
4910 0.25
4929 0.75
4929 0.25
4930 0.75
4930 0.25
4955 0.75
4955 0.25
4956 0.75
4956 0.25
4974 0.75
4974 0.25
4975 0.75
4975 0.25
4976 0.75
4976 0.25
4986 0.75
4986 0.25
4996 0.75
4996 0.25
5000 0.75
5000 0.25
5001 0.75
5001 0.25
5042 0.75
5042 0.25
5046 0.75
5046 0.25
5085 0.75
5085 0.25
5090 0.75
5090 0.25
5091 0.75
5091 0.25
5094 0.75
5094 0.25
5096 0.75
5096 0.25
5116 0.75
5116 0.25
5132 0.75
5132 0.25
5133 0.75
5133 0.25
5135 0.75
5135 0.25
5157 0.75
5157 0.25
5173 0.75
5173 0.25
5174 0.75
5174 0.25
5195 0.75
5195 0.25
5210 0.75
5210 0.25
5211 0.75
5211 0.25
5213 0.75
5213 0.25
5236 0.75
5236 0.25
5249 0.75
5249 0.25
5275 0.75
5275 0.25
5286 0.75
5286 0.25
5314 0.75
5314 0.25
5321 0.75
5321 0.25
5324 0.75
5324 0.25
5352 0.75
5352 0.25
5362 0.75
5362 0.25
5366 0.75
5366 0.25
5390 0.75
5390 0.25
5423 0.75
5423 0.25
5426 0.75
5426 0.25
5427 0.75
5427 0.25
5464 0.75
5464 0.25
5465 0.75
5465 0.25
5466 0.75
5466 0.25
5480 0.75
5480 0.25
5494 0.75
5494 0.25
5503 0.75
5503 0.25
5504 0.75
5504 0.25
5542 0.75
5542 0.25
5543 0.75
5543 0.25
5544 0.75
5544 0.25
5545 0.75
5545 0.25
5573 0.75
5573 0.25
5574 0.75
5574 0.25
5582 0.75
5582 0.25
5583 0.75
5583 0.25
5584 0.75
5584 0.25
5585 0.75
5585 0.25
5620 0.75
5620 0.25
5622 0.75
5622 0.25
5623 0.75
5623 0.25
5624 0.75
5624 0.25
5625 0.75
5625 0.25
5660 0.75
5660 0.25
5661 0.75
5661 0.25
5662 0.75
5662 0.25
5663 0.75
5663 0.25
5664 0.75
5664 0.25
5665 0.75
5665 0.25
5699 0.75
5699 0.25
5701 0.75
5701 0.25
5703 0.75
5703 0.25
5704 0.75
5704 0.25
5705 0.75
5705 0.25
5706 0.75
5706 0.25
5739 0.75
5739 0.25
5740 0.75
5740 0.25
5741 0.75
5741 0.25
5743 0.75
5743 0.25
5744 0.75
5744 0.25
5745 0.75
5745 0.25
5746 0.75
5746 0.25
5780 0.75
5780 0.25
5781 0.75
5781 0.25
5782 0.75
5782 0.25
5784 0.75
5784 0.25
5785 0.75
5785 0.25
5786 0.75
5786 0.25
5787 0.75
5787 0.25
5788 0.75
5788 0.25
5820 0.75
5820 0.25
5821 0.75
5821 0.25
5822 0.75
5822 0.25
5824 0.75
5824 0.25
5825 0.75
5825 0.25
5826 0.75
5826 0.25
5827 0.75
5827 0.25
5828 0.75
5828 0.25
5832 0.75
5832 0.25
5856 0.75
5856 0.25
5857 0.75
5857 0.25
5858 0.75
5858 0.25
5863 0.75
5863 0.25
5864 0.75
5864 0.25
5865 0.75
5865 0.25
5866 0.75
5866 0.25
5867 0.75
5867 0.25
5871 0.75
5871 0.25
5872 0.75
5872 0.25
5873 0.75
5873 0.25
5874 0.75
5874 0.25
5895 0.75
5895 0.25
5896 0.75
5896 0.25
5897 0.75
5897 0.25
5898 0.75
5898 0.25
5903 0.75
5903 0.25
5904 0.75
5904 0.25
5905 0.75
5905 0.25
5906 0.75
5906 0.25
5907 0.75
5907 0.25
5908 0.75
5908 0.25
5909 0.75
5909 0.25
5910 0.75
5910 0.25
5911 0.75
5911 0.25
5912 0.75
5912 0.25
5932 0.75
5932 0.25
5934 0.75
5934 0.25
5935 0.75
5935 0.25
5936 0.75
5936 0.25
5942 0.75
5942 0.25
5943 0.75
5943 0.25
5944 0.75
5944 0.25
5945 0.75
5945 0.25
5946 0.75
5946 0.25
5947 0.75
5947 0.25
5949 0.75
5949 0.25
5950 0.75
5950 0.25
5974 0.75
5974 0.25
5975 0.75
5975 0.25
5978 0.75
5978 0.25
5982 0.75
5982 0.25
5983 0.75
5983 0.25
5984 0.75
5984 0.25
5985 0.75
5985 0.25
5986 0.75
5986 0.25
5987 0.75
5987 0.25
5989 0.75
5989 0.25
5990 0.75
5990 0.25
5994 0.75
5994 0.25
6011 0.75
6011 0.25
6013 0.75
6013 0.25
6014 0.75
6014 0.25
6017 0.75
6017 0.25
6018 0.75
6018 0.25
6019 0.75
6019 0.25
6020 0.75
6020 0.25
6021 0.75
6021 0.25
6022 0.75
6022 0.25
6023 0.75
6023 0.25
6024 0.75
6024 0.25
6025 0.75
6025 0.25
6026 0.75
6026 0.25
6027 0.75
6027 0.25
6028 0.75
6028 0.25
6029 0.75
6029 0.25
6031 0.75
6031 0.25
6048 0.75
6048 0.25
6049 0.75
6049 0.25
6050 0.75
6050 0.25
6055 0.75
6055 0.25
6059 0.75
6059 0.25
6060 0.75
6060 0.25
6061 0.75
6061 0.25
6062 0.75
6062 0.25
6063 0.75
6063 0.25
6064 0.75
6064 0.25
6065 0.75
6065 0.25
6084 0.75
6084 0.25
6086 0.75
6086 0.25
6087 0.75
6087 0.25
6088 0.75
6088 0.25
6090 0.75
6090 0.25
6093 0.75
6093 0.25
6095 0.75
6095 0.25
6097 0.75
6097 0.25
6098 0.75
6098 0.25
6099 0.75
6099 0.25
6100 0.75
6100 0.25
6102 0.75
6102 0.25
6104 0.75
6104 0.25
6122 0.75
6122 0.25
6124 0.75
6124 0.25
6125 0.75
6125 0.25
6126 0.75
6126 0.25
6133 0.75
6133 0.25
6134 0.75
6134 0.25
6135 0.75
6135 0.25
6136 0.75
6136 0.25
6137 0.75
6137 0.25
6142 0.75
6142 0.25
6163 0.75
6163 0.25
6172 0.75
6172 0.25
6174 0.75
6174 0.25
6202 0.75
6202 0.25
6243 0.75
6243 0.25
6425 0.75
6425 0.25
6460 0.75
6460 0.25
6467 0.75
6467 0.25
