pt_graph freq
770 0.75
770 0.25
819 0.75
819 0.25
870 0.75
870 0.25
873 0.75
873 0.25
874 0.75
874 0.25
875 0.75
875 0.25
915 0.75
915 0.25
918 0.75
918 0.25
920 0.75
920 0.25
967 0.75
967 0.25
1024 0.75
1024 0.25
1026 0.75
1026 0.25
1082 0.75
1082 0.25
1150 0.75
1150 0.25
1152 0.75
1152 0.25
1219 0.75
1219 0.25
1221 0.75
1221 0.25
1296 0.75
1296 0.25
1547 0.75
1547 0.25
1548 0.75
1548 0.25
1549 0.75
1549 0.25
1627 0.75
1627 0.25
1712 0.75
1712 0.25
1829 0.75
1829 0.25
1905 0.75
1905 0.25
1920 0.75
1920 0.25
1997 0.75
1997 0.25
2088 0.75
2088 0.25
2090 0.75
2090 0.25
2180 0.75
2180 0.25
2186 0.75
2186 0.25
2201 0.75
2201 0.25
2258 0.75
2258 0.25
2273 0.75
2273 0.25
2349 0.75
2349 0.25
2439 0.75
2439 0.25
2440 0.75
2440 0.25
2522 0.75
2522 0.25
2672 0.75
2672 0.25
2674 0.75
2674 0.25
2702 0.75
2702 0.25
2742 0.75
2742 0.25
2744 0.75
2744 0.25
2745 0.75
2745 0.25
2771 0.75
2771 0.25
2816 0.75
2816 0.25
2817 0.75
2817 0.25
2883 0.75
2883 0.25
2947 0.75
2947 0.25
3006 0.75
3006 0.25
3034 0.75
3034 0.25
3035 0.75
3035 0.25
3065 0.75
3065 0.25
3094 0.75
3094 0.25
3101 0.75
3101 0.25
3155 0.75
3155 0.25
3156 0.75
3156 0.25
3206 0.75
3206 0.25
3209 0.75
3209 0.25
3212 0.75
3212 0.25
3264 0.75
3264 0.25
3266 0.75
3266 0.25
3319 0.75
3319 0.25
3320 0.75
3320 0.25
3322 0.75
3322 0.25
3323 0.75
3323 0.25
3366 0.75
3366 0.25
3373 0.75
3373 0.25
3374 0.75
3374 0.25
3417 0.75
3417 0.25
3452 0.75
3452 0.25
3461 0.75
3461 0.25
3488 0.75
3488 0.25
3496 0.75
3496 0.25
3498 0.75
3498 0.25
3499 0.75
3499 0.25
3534 0.75
3534 0.25
3536 0.75
3536 0.25
3537 0.75
3537 0.25
3538 0.75
3538 0.25
3577 0.75
3577 0.25
3578 0.75
3578 0.25
3579 0.75
3579 0.25
3581 0.75
3581 0.25
3617 0.75
3617 0.25
3618 0.75
3618 0.25
3619 0.75
3619 0.25
3620 0.75
3620 0.25
3621 0.75
3621 0.25
3622 0.75
3622 0.25
3659 0.75
3659 0.25
3660 0.75
3660 0.25
3663 0.75
3663 0.25
3664 0.75
3664 0.25
3665 0.75
3665 0.25
3699 0.75
3699 0.25
3700 0.75
3700 0.25
3701 0.75
3701 0.25
3702 0.75
3702 0.25
3703 0.75
3703 0.25
3704 0.75
3704 0.25
3705 0.75
3705 0.25
3815 0.75
3815 0.25
4060 0.75
4060 0.25
4169 0.75
4169 0.25
4233 0.75
4233 0.25
4304 0.75
4304 0.25
4356 0.75
4356 0.25
4414 0.75
4414 0.25
4419 0.75
4419 0.25
4424 0.75
4424 0.25
4443 0.75
4443 0.25
4488 0.75
4488 0.25
4514 0.75
4514 0.25
4515 0.75
4515 0.25
4535 0.75
4535 0.25
4541 0.75
4541 0.25
4570 0.75
4570 0.25
4571 0.75
4571 0.25
4631 0.75
4631 0.25
4632 0.75
4632 0.25
4633 0.75
4633 0.25
4662 0.75
4662 0.25
4698 0.75
4698 0.25
4729 0.75
4729 0.25
4757 0.75
4757 0.25
4787 0.75
4787 0.25
4788 0.75
4788 0.25
4789 0.75
4789 0.25
4804 0.75
4804 0.25
4805 0.75
4805 0.25
4806 0.75
4806 0.25
4810 0.75
4810 0.25
4826 0.75
4826 0.25
4827 0.75
4827 0.25
4840 0.75
4840 0.25
4841 0.75
4841 0.25
4842 0.75
4842 0.25
4843 0.75
4843 0.25
4845 0.75
4845 0.25
4883 0.75
4883 0.25
4884 0.75
4884 0.25
4886 0.75
4886 0.25
4929 0.75
4929 0.25
4930 0.75
4930 0.25
4951 0.75
4951 0.25
4955 0.75
4955 0.25
4975 0.75
4975 0.25
4976 0.75
4976 0.25
4996 0.75
4996 0.25
5024 0.75
5024 0.25
5042 0.75
5042 0.25
5047 0.75
5047 0.25
5084 0.75
5084 0.25
5085 0.75
5085 0.25
5086 0.75
5086 0.25
5090 0.75
5090 0.25
5091 0.75
5091 0.25
5116 0.75
5116 0.25
5133 0.75
5133 0.25
5173 0.75
5173 0.25
5174 0.75
5174 0.25
5177 0.75
5177 0.25
5210 0.75
5210 0.25
5236 0.75
5236 0.25
5238 0.75
5238 0.25
5247 0.75
5247 0.25
5248 0.75
5248 0.25
5249 0.75
5249 0.25
5314 0.75
5314 0.25
5324 0.75
5324 0.25
5352 0.75
5352 0.25
5359 0.75
5359 0.25
5390 0.75
5390 0.25
5398 0.75
5398 0.25
5426 0.75
5426 0.25
5427 0.75
5427 0.25
5465 0.75
5465 0.25
5467 0.75
5467 0.25
5494 0.75
5494 0.25
5503 0.75
5503 0.25
5504 0.75
5504 0.25
5540 0.75
5540 0.25
5541 0.75
5541 0.25
5543 0.75
5543 0.25
5544 0.75
5544 0.25
5582 0.75
5582 0.25
5583 0.75
5583 0.25
5584 0.75
5584 0.25
5585 0.75
5585 0.25
5620 0.75
5620 0.25
5622 0.75
5622 0.25
