pt_graph scale
6476 0
6476 877.316134
6476 877.316134
6476 877.316134
6476 877.316134
6476 0
6476 20.552947616
6476 0
6476 0
6476 0
6476 0
6476 1173.0031152
6476 1173.0031152
6476 1173.0031152
6476 1173.0031152
6476 1173.0031152
6476 0
6476 23.529411764
6476 0
6476 0
6476 0
6476 0
6476 105.31241832
6476 105.31241832
6476 105.31241832
6476 0
6476 0
6476 0
6476 0
6476 0
6476 0
6476 0
6476 48.09247016
6476 0
6476 0
6476 57.53424656
6476 93.33333332
6517 0
6517 877.316134
6517 877.316134
6517 877.316134
6517 877.316134
6517 0
6517 20.552947616
6517 0
6517 0
6517 0
6517 0
6517 1173.0031152
6517 1173.0031152
6517 1173.0031152
6517 1173.0031152
6517 1173.0031152
6517 0
6517 23.529411764
6517 0
6517 0
6517 0
6517 0
6517 105.31241832
6517 105.31241832
6517 105.31241832
6517 0
6517 0
6517 0
6517 0
6517 0
6517 0
6517 0
6517 48.09247016
6517 0
6517 0
6517 57.53424656
6517 93.33333332
6557 0
6557 877.316134
6557 877.316134
6557 877.316134
6557 877.316134
6557 0
6557 20.552947616
6557 0
6557 0
6557 0
6557 0
6557 1173.0031152
6557 1173.0031152
6557 1173.0031152
6557 1173.0031152
6557 1173.0031152
6557 0
6557 23.529411764
6557 0
6557 0
6557 0
6557 0
6557 105.31241832
6557 105.31241832
6557 105.31241832
6557 0
6557 0
6557 0
6557 0
6557 0
6557 0
6557 0
6557 48.09247016
6557 0
6557 0
6557 57.53424656
6557 93.33333332
6595 0
6595 877.316134
6595 877.316134
6595 877.316134
6595 877.316134
6595 0
6595 20.552947616
6595 0
6595 0
6595 0
6595 0
6595 1173.0031152
6595 1173.0031152
6595 1173.0031152
6595 1173.0031152
6595 1173.0031152
6595 0
6595 23.529411764
6595 0
6595 0
6595 0
6595 0
6595 105.31241832
6595 105.31241832
6595 105.31241832
6595 0
6595 0
6595 0
6595 0
6595 0
6595 0
6595 0
6595 48.09247016
6595 0
6595 0
6595 57.53424656
6595 93.33333332
6634 0
6634 877.316134
6634 877.316134
6634 877.316134
6634 877.316134
6634 0
6634 20.552947616
6634 0
6634 0
6634 0
6634 0
6634 1173.0031152
6634 1173.0031152
6634 1173.0031152
6634 1173.0031152
6634 1173.0031152
6634 0
6634 23.529411764
6634 0
6634 0
6634 0
6634 0
6634 105.31241832
6634 105.31241832
6634 105.31241832
6634 0
6634 0
6634 0
6634 0
6634 0
6634 0
6634 0
6634 48.09247016
6634 0
6634 0
6634 57.53424656
6634 93.33333332
6673 0
6673 877.316134
6673 877.316134
6673 877.316134
6673 877.316134
6673 0
6673 20.552947616
6673 0
6673 0
6673 0
6673 0
6673 1173.0031152
6673 1173.0031152
6673 1173.0031152
6673 1173.0031152
6673 1173.0031152
6673 0
6673 23.529411764
6673 0
6673 0
6673 0
6673 0
6673 105.31241832
6673 105.31241832
6673 105.31241832
6673 0
6673 0
6673 0
6673 0
6673 0
6673 0
6673 0
6673 48.09247016
6673 0
6673 0
6673 57.53424656
6673 93.33333332
6713 0
6713 877.316134
6713 877.316134
6713 877.316134
6713 877.316134
6713 0
6713 20.552947616
6713 0
6713 0
6713 0
6713 0
6713 1173.0031152
6713 1173.0031152
6713 1173.0031152
6713 1173.0031152
6713 1173.0031152
6713 0
6713 23.529411764
6713 0
6713 0
6713 0
6713 0
6713 105.31241832
6713 105.31241832
6713 105.31241832
6713 0
6713 0
6713 0
6713 0
6713 0
6713 0
6713 0
6713 48.09247016
6713 0
6713 0
6713 57.53424656
6713 93.33333332
6752 0
6752 877.316134
6752 877.316134
6752 877.316134
6752 877.316134
6752 0
6752 20.552947616
6752 0
6752 0
6752 0
6752 0
6752 1173.0031152
6752 1173.0031152
6752 1173.0031152
6752 1173.0031152
6752 1173.0031152
6752 0
6752 23.529411764
6752 0
6752 0
6752 0
6752 0
6752 105.31241832
6752 105.31241832
6752 105.31241832
6752 0
6752 0
6752 0
6752 0
6752 0
6752 0
6752 0
6752 48.09247016
6752 0
6752 0
6752 57.53424656
6752 93.33333332
6357 0
6357 877.316134
6357 877.316134
6357 877.316134
6357 877.316134
6357 0
6357 20.552947616
6357 0
6357 0
6357 0
6357 0
6357 1173.0031152
6357 1173.0031152
6357 1173.0031152
6357 1173.0031152
6357 1173.0031152
6357 0
6357 23.529411764
6357 0
6357 0
6357 0
6357 0
6357 105.31241832
6357 105.31241832
6357 105.31241832
6357 0
6357 0
6357 0
6357 0
6357 0
6357 0
6357 0
6357 48.09247016
6357 0
6357 0
6357 57.53424656
6357 93.33333332
6397 0
6397 877.316134
6397 877.316134
6397 877.316134
6397 877.316134
6397 0
6397 20.552947616
6397 0
6397 0
6397 0
6397 0
6397 1173.0031152
6397 1173.0031152
6397 1173.0031152
6397 1173.0031152
6397 1173.0031152
6397 0
6397 23.529411764
6397 0
6397 0
6397 0
6397 0
6397 105.31241832
6397 105.31241832
6397 105.31241832
6397 0
6397 0
6397 0
6397 0
6397 0
6397 0
6397 0
6397 48.09247016
6397 0
6397 0
6397 57.53424656
6397 93.33333332
6437 0
6437 877.316134
6437 877.316134
6437 877.316134
6437 877.316134
6437 0
6437 20.552947616
6437 0
6437 0
6437 0
6437 0
6437 1173.0031152
6437 1173.0031152
6437 1173.0031152
6437 1173.0031152
6437 1173.0031152
6437 0
6437 23.529411764
6437 0
6437 0
6437 0
6437 0
6437 105.31241832
6437 105.31241832
6437 105.31241832
6437 0
6437 0
6437 0
6437 0
6437 0
6437 0
6437 0
6437 48.09247016
6437 0
6437 0
6437 57.53424656
6437 93.33333332
6477 0
6477 877.316134
6477 877.316134
6477 877.316134
6477 877.316134
6477 0
6477 20.552947616
6477 0
6477 0
6477 0
6477 0
6477 1173.0031152
6477 1173.0031152
6477 1173.0031152
6477 1173.0031152
6477 1173.0031152
6477 0
6477 23.529411764
6477 0
6477 0
6477 0
6477 0
6477 105.31241832
6477 105.31241832
6477 105.31241832
6477 0
6477 0
6477 0
6477 0
6477 0
6477 0
6477 0
6477 48.09247016
6477 0
6477 0
6477 57.53424656
6477 93.33333332
6518 0
6518 877.316134
6518 877.316134
6518 877.316134
6518 877.316134
6518 0
6518 20.552947616
6518 0
6518 0
6518 0
6518 0
6518 1173.0031152
6518 1173.0031152
6518 1173.0031152
6518 1173.0031152
6518 1173.0031152
6518 0
6518 23.529411764
6518 0
6518 0
6518 0
6518 0
6518 105.31241832
6518 105.31241832
6518 105.31241832
6518 0
6518 0
6518 0
6518 0
6518 0
6518 0
6518 0
6518 48.09247016
6518 0
6518 0
6518 57.53424656
6518 93.33333332
6558 0
6558 877.316134
6558 877.316134
6558 877.316134
6558 877.316134
6558 0
6558 20.552947616
6558 0
6558 0
6558 0
6558 0
6558 1173.0031152
6558 1173.0031152
6558 1173.0031152
6558 1173.0031152
6558 1173.0031152
6558 0
6558 23.529411764
6558 0
6558 0
6558 0
6558 0
6558 105.31241832
6558 105.31241832
6558 105.31241832
6558 0
6558 0
6558 0
6558 0
6558 0
6558 0
6558 0
6558 48.09247016
6558 0
6558 0
6558 57.53424656
6558 93.33333332
6596 0
6596 877.316134
6596 877.316134
6596 877.316134
6596 877.316134
6596 0
6596 20.552947616
6596 0
6596 0
6596 0
6596 0
6596 1173.0031152
6596 1173.0031152
6596 1173.0031152
6596 1173.0031152
6596 1173.0031152
6596 0
6596 23.529411764
6596 0
6596 0
6596 0
6596 0
6596 105.31241832
6596 105.31241832
6596 105.31241832
6596 0
6596 0
6596 0
6596 0
6596 0
6596 0
6596 0
6596 48.09247016
6596 0
6596 0
6596 57.53424656
6596 93.33333332
6635 0
6635 877.316134
6635 877.316134
6635 877.316134
6635 877.316134
6635 0
6635 20.552947616
6635 0
6635 0
6635 0
6635 0
6635 1173.0031152
6635 1173.0031152
6635 1173.0031152
6635 1173.0031152
6635 1173.0031152
6635 0
6635 23.529411764
6635 0
6635 0
6635 0
6635 0
6635 105.31241832
6635 105.31241832
6635 105.31241832
6635 0
6635 0
6635 0
6635 0
6635 0
6635 0
6635 0
6635 48.09247016
6635 0
6635 0
6635 57.53424656
6635 93.33333332
6674 0
6674 877.316134
6674 877.316134
6674 877.316134
6674 877.316134
6674 0
6674 20.552947616
6674 0
6674 0
6674 0
6674 0
6674 1173.0031152
6674 1173.0031152
6674 1173.0031152
6674 1173.0031152
6674 1173.0031152
6674 0
6674 23.529411764
6674 0
6674 0
6674 0
6674 0
6674 105.31241832
6674 105.31241832
6674 105.31241832
6674 0
6674 0
6674 0
6674 0
6674 0
6674 0
6674 0
6674 48.09247016
6674 0
6674 0
6674 57.53424656
6674 93.33333332
6714 0
6714 877.316134
6714 877.316134
6714 877.316134
6714 877.316134
6714 0
6714 20.552947616
6714 0
6714 0
6714 0
6714 0
6714 1173.0031152
6714 1173.0031152
6714 1173.0031152
6714 1173.0031152
6714 1173.0031152
6714 0
6714 23.529411764
6714 0
6714 0
6714 0
6714 0
6714 105.31241832
6714 105.31241832
6714 105.31241832
6714 0
6714 0
6714 0
6714 0
6714 0
6714 0
6714 0
6714 48.09247016
6714 0
6714 0
6714 57.53424656
6714 93.33333332
6753 0
6753 877.316134
6753 877.316134
6753 877.316134
6753 877.316134
6753 0
6753 20.552947616
6753 0
6753 0
6753 0
6753 0
6753 1173.0031152
6753 1173.0031152
6753 1173.0031152
6753 1173.0031152
6753 1173.0031152
6753 0
6753 23.529411764
6753 0
6753 0
6753 0
6753 0
6753 105.31241832
6753 105.31241832
6753 105.31241832
6753 0
6753 0
6753 0
6753 0
6753 0
6753 0
6753 0
6753 48.09247016
6753 0
6753 0
6753 57.53424656
6753 93.33333332
6789 0
6789 877.316134
6789 877.316134
6789 877.316134
6789 877.316134
6789 0
6789 20.552947616
6789 0
6789 0
6789 0
6789 0
6789 1173.0031152
6789 1173.0031152
6789 1173.0031152
6789 1173.0031152
6789 1173.0031152
6789 0
6789 23.529411764
6789 0
6789 0
6789 0
6789 0
