pt_graph freq
10920 1
10921 1
11043 1
11044 1
11046 1
11171 1
11172 1
11173 1
11174 1
11297 1
11298 1
11299 1
11301 1
11302 1
11429 1
11430 1
11431 1
11432 1
11433 1
11569 1
11570 1
11712 1
11713 1
11714 1
11715 1
11716 1
11717 1
11718 1
11853 1
11854 1
11855 1
11856 1
11857 1
11858 1
11859 1
11860 1
11999 1
12000 1
12001 1
12002 1
12003 1
12004 1
12005 1
12006 1
12007 1
12156 1
12157 1
12158 1
12159 1
12160 1
12161 1
12162 1
12163 1
12315 1
12316 1
12317 1
12318 1
12319 1
12320 1
12321 1
12322 1
12323 1
12324 1
12478 1
12479 1
12480 1
12481 1
12482 1
12483 1
12484 1
12485 1
12644 1
12645 1
12646 1
12647 1
12648 1
12649 1
12650 1
12651 1
12652 1
12814 1
12815 1
12816 1
12817 1
12818 1
12819 1
12820 1
12821 1
12987 1
12988 1
12989 1
12990 1
12991 1
12992 1
12993 1
12994 1
13161 1
13162 1
13163 1
13164 1
13165 1
13166 1
13167 1
13332 1
13333 1
13334 1
13335 1
13336 1
13510 1
13511 1
13512 1
13513 1
13686 1
13687 1
37555 1
37607 1
